code,title,points_r1_2021,points_r1_2020,points_r1_2019,Change 21 vs 20,21vs20,21vs19,20vs19
AD102,Graphic Design and Moving Image Design (portfolio),538.0,,0.0,Points decrease,,538.0,
AD103,Textile and Surface Design and Jewellery and Objec,505.0,,0.0,Points decrease,,505.0,
AD202,Education and Design or Fine Art (Second Level Tea,591.0,,0.0,Points decrease,,591.0,
AD204,Fine Art (portfolio),514.0,,0.0,Points decrease,,514.0,
AD211,Fashion Design (portfolio),760.0,,0.0,Points decrease,,760.0,
AD212,Product Design (portfolio),413.0,,0.0,Points decrease,,413.0,
AD215,Visual Culture,337.0,377.0,300.0,Points decrease,-40.0,37.0,77.0
AD217,Illustration (portfolio),738.0,,0.0,Points decrease,,738.0,
AD222,Interaction Design (portfolio),444.0,,0.0,Points decrease,,444.0,
NC003,Computing (Degree Award options),271.0,260.0,261.0,Points decrease,11.0,10.0,-1.0
NC005,Human Resource Management,301.0,300.0,297.0,Points decrease,1.0,4.0,3.0
NC009,Business,300.0,300.0,297.0,Points decrease,0.0,3.0,3.0
NC010,Psychology,420.0,400.0,366.0,Points decrease,20.0,54.0,34.0
NC020,Marketing Practice,270.0,280.0,270.0,Points decrease,-10.0,0.0,10.0
NC022,Accounting and Finance,330.0,337.0,338.0,Points decrease,-7.0,-8.0,-1.0
NC023,Technology Management (with specialisations),266.0,261.0,260.0,Points decrease,5.0,6.0,1.0
NC030,Early Childhood Education and Care,251.0,,,Points decrease,,,
RC001,Medicine - Undergraduate Entry (HPAT required),741.0,733.0,729.0,Points decrease,8.0,12.0,4.0
RC004,Physiotherapy,589.0,566.0,532.0,Points decrease,23.0,57.0,34.0
RC005,Pharmacy,613.0,579.0,555.0,Points decrease,34.0,58.0,24.0
RC101,Medicine - Graduate Entry (GAMSAT required),,,60.0,Points decrease,,,
NM801,Montessori Education,262.0,220.0,,Points decrease,42.0,,
NM802,Psychology,228.0,,,Points decrease,,,
TU801,Sustainable Energy Engineering,235.0,235.0,,Points decrease,0.0,,
TU802,Electrical Services and Energy Management,309.0,317.0,,Points decrease,-8.0,,
TU804,Engineering (Common Entry with Award options),270.0,271.0,,Points decrease,-1.0,,
TU805,Engineering (General Entry),466.0,402.0,,Points decrease,64.0,,
TU807,Computer Engineering in Mobile Systems,274.0,276.0,,Points decrease,-2.0,,
TU810,Mechatronic Engineering,271.0,270.0,,Points decrease,1.0,,
TU811,Product Design,440.0,411.0,,Points decrease,29.0,,
TU812,Design Technology and Innovation,278.0,270.0,,Points decrease,8.0,,
TU814,Sustainable Transport Management,253.0,285.0,,Points decrease,-32.0,,
TU828,Mechanical Engineering (General Entry),300.0,,,Points decrease,,,
TU829,Electronic Engineering (General Entry),248.0,,,Points decrease,,,
TU831,Architectural Technology,423.0,410.0,,Points decrease,13.0,,
TU832,Architecture (Suitability Test and Interview),644.0,622.0,,Points decrease,22.0,,
TU833,Construction Management,396.0,367.0,,Points decrease,29.0,,
TU834,Geographic Science,315.0,288.0,,Points decrease,27.0,,
TU835,Planning and Environmental Management,330.0,313.0,,Points decrease,17.0,,
TU836,Property Economics (Valuation Surveying),411.0,401.0,,Points decrease,10.0,,
TU837,Quantity Surveying and Construction Economics,413.0,385.0,,Points decrease,28.0,,
TU838,Sustainable Timber Technology,307.0,,,Points decrease,,,
TU851,Analytical Chemistry (Environmental  Forensic and,400.0,349.0,,Points decrease,51.0,,
TU852,Chemical Sciences with Medicinal Chemistry,477.0,476.0,,Points decrease,1.0,,
TU854,Science (General Entry),510.0,476.0,,Points decrease,34.0,,
TU855,Science with Nanotechnology,322.0,331.0,,Points decrease,-9.0,,
TU856,Computer Science,499.0,476.0,,Points decrease,23.0,,
TU857,Computer Science (Infrastructure),403.0,391.0,,Points decrease,12.0,,
TU858,Computer Science (International),395.0,377.0,,Points decrease,18.0,,
TU859,Computing,251.0,217.0,,Points decrease,34.0,,
TU860,Computing (Information Technology),270.0,260.0,,Points decrease,10.0,,
TU861,Computing with Language (French/German/Spanish),235.0,308.0,,Points decrease,-73.0,,
TU862,Computing with Artificial Intelligence Machine Lea,262.0,226.0,,Points decrease,36.0,,
TU863,Digital Forensics and Cyber Security,282.0,280.0,,Points decrease,2.0,,
TU864,DNA and Forensic Analysis,500.0,400.0,,Points decrease,100.0,,
TU865,Cloud Computing,235.0,226.0,,Points decrease,9.0,,
TU866,Biomedical and Molecular Diagnostics,522.0,487.0,,Points decrease,35.0,,
TU867,Biomedical Science,576.0,524.0,,Points decrease,52.0,,
TU868,Clinical Measurement Science,542.0,510.0,,Points decrease,32.0,,
TU869,Environmental Health,387.0,336.0,,Points decrease,51.0,,
TU870,Human Nutrition and Dietetics,601.0,578.0,,Points decrease,23.0,,
TU871,Optometry,532.0,509.0,,Points decrease,23.0,,
TU872,Public Health Nutrition,487.0,491.0,,Points decrease,-4.0,,
TU874,Mathematical Sciences,294.0,341.0,,Points decrease,-47.0,,
TU875,Pharmaceutical Healthcare,451.0,400.0,,Points decrease,51.0,,
TU876,Pharmaceutical Science,445.0,377.0,,Points decrease,68.0,,
TU877,Physics Technology,314.0,308.0,,Points decrease,6.0,,
TU878,Physics with Energy and Environment,339.0,337.0,,Points decrease,2.0,,
TU879,Physics with Medical Physics and Bioengineering,346.0,351.0,,Points decrease,-5.0,,
TU880,Physics with Data Science,412.0,578.0,,Points decrease,-166.0,,
TU881,Food Innovation,309.0,318.0,,Points decrease,-9.0,,
TU882,Nutraceuticals in Health and Nutrition,380.0,397.0,,Points decrease,-17.0,,
TU902,Business (options),270.0,271.0,,Points decrease,-1.0,,
TU903,Business and Management,477.0,463.0,,Points decrease,14.0,,
TU904,Business and Law,462.0,462.0,,Points decrease,0.0,,
TU905,Economics and Finance,460.0,465.0,,Points decrease,-5.0,,
TU906,Human Resource Management,386.0,395.0,,Points decrease,-9.0,,
TU907,Logistics and Supply Chain Management,300.0,300.0,,Points decrease,0.0,,
TU910,Accounting,420.0,444.0,,Points decrease,-24.0,,
TU912,Business Analytics,331.0,330.0,,Points decrease,1.0,,
TU914,Business Computing,322.0,324.0,,Points decrease,-2.0,,
TU917,Law (LLB ) with a Language,356.0,342.0,,Points decrease,14.0,,
TU918,Law (LLB),463.0,451.0,,Points decrease,12.0,,
TU919,Advertising and Marketing Communications,219.0,228.0,,Points decrease,-9.0,,
TU920,Digital Marketing,270.0,270.0,,Points decrease,0.0,,
TU921,Digital Marketing Technologies,230.0,212.0,,Points decrease,18.0,,
TU922,Marketing,412.0,418.0,,Points decrease,-6.0,,
TU924,E-Commerce in Retailing,307.0,307.0,,Points decrease,0.0,,
TU925,Retail and Services Management,307.0,301.0,,Points decrease,6.0,,
TU932,Business (options),211.0,,,Points decrease,,,
TU933,Accounting and Finance (campus options),251.0,,,Points decrease,,,
TU935,Sports Management and Coaching,300.0,300.0,,Points decrease,0.0,,
TU936,Sports Science and Health,484.0,410.0,,Points decrease,74.0,,
TU941,Botanical Cuisine,311.0,249.0,,Points decrease,62.0,,
TU942,Culinary Arts,252.0,212.0,,Points decrease,40.0,,
TU943,Culinary Entrepreneurship,261.0,278.0,,Points decrease,-17.0,,
TU944,Culinary Science,336.0,316.0,,Points decrease,20.0,,
TU951,International Hospitality and Tourism Management,244.0,184.0,,Points decrease,60.0,,
TU952,International Hospitality Management,309.0,300.0,,Points decrease,9.0,,
TU953,Tourism and Digital Marketing,308.0,290.0,,Points decrease,18.0,,
TU954,Event Management,326.0,356.0,,Points decrease,-30.0,,
TU955,Sports and Leisure Management,275.0,217.0,,Points decrease,58.0,,
TU961,Commercial Modern Music (BIMM - assessment/auditio,536.0,608.0,,Points decrease,-72.0,,
TU962,Drama (Performance  audition),448.0,379.0,,Points decrease,69.0,,
TU963,Music (audition),364.0,416.0,,Points decrease,-52.0,,
TU965,International Business and Languages,357.0,356.0,,Points decrease,1.0,,
TU967,Languages and International Tourism,298.0,308.0,,Points decrease,-10.0,,
TU973,Design - Visual Communication (portfolio),700.0,717.0,,Points decrease,-17.0,,
TU974,Fine Art (portfolio),549.0,709.0,,Points decrease,-160.0,,
TU975,Interior Design (portfolio),544.0,632.0,,Points decrease,-88.0,,
TU976,Photography (portfolio),700.0,695.0,,Points decrease,5.0,,
TU978,Creative Industries and Visual Culture,299.0,,,Points decrease,,,
TU981,Creative Digital Media,280.0,280.0,,Points decrease,0.0,,
TU982,Media Production and Digital Arts,369.0,320.0,,Points decrease,49.0,,
TU983,Film and Broadcasting,462.0,456.0,,Points decrease,6.0,,
TU984,Game Design,414.0,381.0,,Points decrease,33.0,,
TU985,Journalism,367.0,322.0,,Points decrease,45.0,,
TU989,Early Childhood Care and Education (campus options,270.0,,,Points decrease,,,
TU991,Applied Social Studies in Social Care,326.0,325.0,,Points decrease,1.0,,
TU992,Community Development and Youth Work,251.0,251.0,,Points decrease,0.0,,
TU995,Early Childhood Education,378.0,367.0,,Points decrease,11.0,,
TU996,Social Care,407.0,400.0,,Points decrease,7.0,,
TU997,Applied Social Care,320.0,310.0,,Points decrease,10.0,,
TR002,Music,508.0,435.0,414.0,Points decrease,73.0,94.0,21.0
TR003,History,552.0,497.0,486.0,Points decrease,55.0,66.0,11.0
TR004,Law,590.0,566.0,532.0,Points decrease,24.0,58.0,34.0
TR005,Philosophy,510.0,442.0,391.0,Points decrease,68.0,119.0,51.0
TR006,Psychology,601.0,567.0,555.0,Points decrease,34.0,46.0,12.0
TR007,Clinical Speech and Language Studies,564.0,529.0,499.0,Points decrease,35.0,65.0,30.0
TR009,Music Education,496.0,420.0,430.0,Points decrease,76.0,66.0,-10.0
TR015,Philosophy  Political Science  Economics and Socio,613.0,589.0,566.0,Points decrease,24.0,47.0,23.0
TR016,Deaf Studies,389.0,340.0,337.0,Points decrease,49.0,52.0,3.0
TR018,Law and French,602.0,565.0,532.0,Points decrease,37.0,70.0,33.0
TR019,Law and German,577.0,543.0,523.0,Points decrease,34.0,54.0,20.0
TR021,Classics  Ancient History and Archaeology,467.0,370.0,377.0,Points decrease,97.0,90.0,-7.0
TR022,Early and Modern Irish,377.0,398.0,347.0,Points decrease,-21.0,30.0,51.0
TR023,English Studies,546.0,487.0,463.0,Points decrease,59.0,83.0,24.0
TR024,European Studies,566.0,544.0,520.0,Points decrease,22.0,46.0,24.0
TR025,Drama and Theatre Studies,543.0,564.0,489.0,Points decrease,-21.0,54.0,75.0
TR028,Ancient and Medieval History and Culture,498.0,342.0,339.0,Points decrease,156.0,159.0,3.0
TR031,Mathematics,579.0,531.0,566.0,Points decrease,48.0,13.0,-35.0
TR032,Engineering,556.0,510.0,487.0,Points decrease,46.0,69.0,23.0
TR033,Computer Science,566.0,509.0,465.0,Points decrease,57.0,101.0,44.0
TR034,Management Science and Information Systems Studies,625.0,613.0,589.0,Points decrease,12.0,36.0,24.0
TR035,Theoretical Physics,590.0,543.0,554.0,Points decrease,47.0,36.0,-11.0
TR038,Engineering with Management,589.0,532.0,499.0,Points decrease,57.0,90.0,33.0
TR039,Computer Science  Linguistics and a Language,443.0,454.0,435.0,Points decrease,-11.0,8.0,19.0
TR040,Middle Eastern and European Languages and Cultures,520.0,466.0,485.0,Points decrease,54.0,35.0,-19.0
TR041,Religion,417.0,368.0,347.0,Points decrease,49.0,70.0,21.0
TR042,Film,531.0,489.0,,Points decrease,42.0,,
TR043,History of Art and Architecture,498.0,393.0,,Points decrease,105.0,,
TR051,Medicine (HPAT required),743.0,735.0,730.0,Points decrease,8.0,13.0,5.0
TR052,Dental Science,625.0,613.0,590.0,Points decrease,12.0,35.0,23.0
TR053,Physiotherapy,590.0,566.0,533.0,Points decrease,24.0,57.0,33.0
TR054,Occupational Therapy,578.0,533.0,500.0,Points decrease,45.0,78.0,33.0
TR055,Radiation Therapy,577.0,543.0,510.0,Points decrease,34.0,67.0,33.0
TR056,Human Health and Disease,601.0,565.0,543.0,Points decrease,36.0,58.0,22.0
TR060,Biological and Biomedical Sciences,578.0,543.0,510.0,Points decrease,35.0,68.0,33.0
TR061,Chemical Sciences,558.0,517.0,488.0,Points decrease,41.0,70.0,29.0
TR062,Geography and Geoscience,495.0,473.0,435.0,Points decrease,22.0,60.0,38.0
TR063,Physical Sciences,554.0,498.0,498.0,Points decrease,56.0,56.0,0.0
TR064,Environmental Science and Engineering,555.0,,,Points decrease,,,
TR072,Pharmacy,613.0,590.0,555.0,Points decrease,23.0,58.0,35.0
TR080,Global Business,613.0,589.0,565.0,Points decrease,24.0,48.0,24.0
TR081,Business  Economic and Social Studies (BESS),577.0,543.0,518.0,Points decrease,34.0,59.0,25.0
TR084,Social Studies (Social Work),497.0,462.0,420.0,Points decrease,35.0,77.0,42.0
TR085,Business Studies and French,564.0,540.0,509.0,Points decrease,24.0,55.0,31.0
TR086,Business Studies and German,530.0,509.0,474.0,Points decrease,21.0,56.0,35.0
TR087,Business Studies and Russian,487.0,474.0,467.0,Points decrease,13.0,20.0,7.0
TR089,Business Studies and Polish,391.0,444.0,393.0,Points decrease,-53.0,-2.0,51.0
TR090,Business Studies and Spanish,566.0,531.0,510.0,Points decrease,35.0,56.0,21.0
TR091,General Nursing (Meath and St James`s),462.0,429.0,393.0,Points decrease,33.0,69.0,36.0
TR093,General Nursing (Adelaide School of Nursing),473.0,430.0,378.0,Points decrease,43.0,95.0,52.0
TR095,Mental Health Nursing,442.0,408.0,358.0,Points decrease,34.0,84.0,50.0
TR097,Intellectual Disability Nursing,412.0,396.0,346.0,Points decrease,16.0,66.0,50.0
TR911,Children`s and General Nursing (Integrated),531.0,511.0,476.0,Points decrease,20.0,55.0,35.0
TR913,Midwifery,521.0,478.0,423.0,Points decrease,43.0,98.0,55.0
DN100,Architecture,555.0,510.0,473.0,Points decrease,45.0,82.0,37.0
DN120,Landscape Architecture,463.0,407.0,353.0,Points decrease,56.0,110.0,54.0
DN130,City Planning and Environmental Policy,445.0,407.0,367.0,Points decrease,38.0,78.0,40.0
DN150,Engineering (Common Entry),565.0,531.0,511.0,Points decrease,34.0,54.0,20.0
DN200,Science (options),577.0,533.0,521.0,Points decrease,44.0,56.0,12.0
DN201,Computer Science (Common Entry),554.0,510.0,488.0,Points decrease,44.0,66.0,22.0
DN230,Actuarial and Financial Studies,613.0,601.0,577.0,Points decrease,12.0,36.0,24.0
DN240,Sustainability,510.0,440.0,,Points decrease,70.0,,
DN250,Agricultural Science (options),454.0,456.0,420.0,Points decrease,-2.0,34.0,36.0
DN261,Food Science,531.0,477.0,434.0,Points decrease,54.0,97.0,43.0
DN262,Human Nutrition,566.0,531.0,493.0,Points decrease,35.0,73.0,38.0
DN300,Veterinary Medicine - Undergraduate Entry,601.0,589.0,567.0,Points decrease,12.0,34.0,22.0
DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,,,Points decrease,,,
DN310,Veterinary Nursing,521.0,478.0,441.0,Points decrease,43.0,80.0,37.0
DN400,Medicine - Undergraduate Entry (HPAT required),743.0,737.0,735.0,Points decrease,6.0,8.0,2.0
DN401,Medicine - Graduate Entry (GAMSAT required),61.0,,59.0,Points decrease,,2.0,
DN410,Radiography,566.0,534.0,507.0,Points decrease,32.0,59.0,27.0
DN411,Radiography - Graduate Entry,,,,Points decrease,,,
DN420,Physiotherapy,601.0,578.0,542.0,Points decrease,23.0,59.0,36.0
DN425,Health and Performance Science,544.0,510.0,488.0,Points decrease,34.0,56.0,22.0
DN430,Sport and Exercise Management,484.0,455.0,436.0,Points decrease,29.0,48.0,19.0
DN440,Biomedical  Health and Life Sciences,613.0,590.0,565.0,Points decrease,23.0,48.0,25.0
DN450,General Nursing,462.0,429.0,398.0,Points decrease,33.0,64.0,31.0
DN451,Children`s and General Nursing (Integrated),533.0,509.0,462.0,Points decrease,24.0,71.0,47.0
DN452,Midwifery,510.0,489.0,409.0,Points decrease,21.0,101.0,80.0
DN453,Mental Health Nursing,442.0,397.0,379.0,Points decrease,45.0,63.0,18.0
DN520,Joint Honours (options),381.0,310.0,336.0,Points decrease,71.0,45.0,-26.0
DN530,Humanities (options),397.0,340.0,348.0,Points decrease,57.0,49.0,-8.0
DN541,Modern Languages (options),320.0,303.0,348.0,Points decrease,17.0,-28.0,-45.0
DN600,Law (options),576.0,546.0,520.0,Points decrease,30.0,56.0,26.0
DN610,Business and Law,573.0,545.0,521.0,Points decrease,28.0,52.0,24.0
DN650,Commerce,555.0,521.0,498.0,Points decrease,34.0,57.0,23.0
DN660,Commerce International (options),555.0,517.0,507.0,Points decrease,38.0,48.0,10.0
DN670,Economics and Finance,625.0,613.0,601.0,Points decrease,12.0,24.0,12.0
DN700,Social Sciences (options),475.0,421.0,388.0,Points decrease,54.0,87.0,33.0
DN710,Economics,534.0,498.0,476.0,Points decrease,36.0,58.0,22.0
DN720,Psychology,566.0,530.0,517.0,Points decrease,36.0,49.0,13.0
DN750,Social Policy and Sociology,421.0,378.0,330.0,Points decrease,43.0,91.0,48.0
DK810,Accounting and Finance,307.0,305.0,306.0,Points decrease,2.0,1.0,-1.0
DK816,Business Studies,301.0,300.0,300.0,Points decrease,1.0,1.0,0.0
DK820,Computing in Games Development,309.0,311.0,307.0,Points decrease,-2.0,2.0,4.0
DK821,Computing in Software Development,320.0,302.0,301.0,Points decrease,18.0,19.0,1.0
DK822,Augmented and Virtual Reality,320.0,307.0,,Points decrease,13.0,,
DK830,Building Surveying,305.0,336.0,302.0,Points decrease,-31.0,3.0,34.0
DK831,Architectural Technology,368.0,389.0,301.0,Points decrease,-21.0,67.0,88.0
DK832,Construction Management,358.0,387.0,300.0,Points decrease,-29.0,58.0,87.0
DK843,Engineering (Common Entry),404.0,340.0,303.0,Points decrease,64.0,101.0,37.0
DK844,Mechanical Engineering,336.0,305.0,,Points decrease,31.0,,
DK845,Electrical and Electronic Engineering,331.0,304.0,,Points decrease,27.0,,
DK846,Civil Engineering,371.0,391.0,,Points decrease,-20.0,,
DK850,International Tourism Management,303.0,317.0,,Points decrease,-14.0,,
DK861,Arts,302.0,302.0,300.0,Points decrease,0.0,2.0,2.0
DK862,Social Care,322.0,301.0,300.0,Points decrease,21.0,22.0,1.0
DK863,Creative Media,336.0,308.0,300.0,Points decrease,28.0,36.0,8.0
DK864,Film and Television Production,308.0,300.0,300.0,Points decrease,8.0,8.0,0.0
DK865,Audio and Music Production,352.0,301.0,301.0,Points decrease,51.0,51.0,0.0
DK870,General Nursing,440.0,403.0,392.0,Points decrease,37.0,48.0,11.0
DK872,Intellectual Disability Nursing,367.0,336.0,300.0,Points decrease,31.0,67.0,36.0
DK874,Mental Health Nursing,398.0,356.0,356.0,Points decrease,42.0,42.0,0.0
DK876,Early Childhood Studies,300.0,321.0,305.0,Points decrease,-21.0,-5.0,16.0
DK877,Midwifery,482.0,440.0,398.0,Points decrease,42.0,84.0,42.0
DK880,Health and Physical Activity,301.0,328.0,300.0,Points decrease,-27.0,1.0,28.0
DK882,Agriculture (Award options),342.0,310.0,303.0,Points decrease,32.0,39.0,7.0
DK883,Science (Award options),373.0,358.0,300.0,Points decrease,15.0,73.0,58.0
DK884,Sustainable Agriculture,348.0,,,Points decrease,,,
DK885,Agri-Food Production,,,,Points decrease,,,
DK886,Biopharmaceutical Science,379.0,301.0,,Points decrease,78.0,,
DK887,Environmental Science,377.0,330.0,,Points decrease,47.0,,
GA181,Accounting,303.0,309.0,303.0,Points decrease,-6.0,0.0,6.0
GA182,Business,285.0,287.0,290.0,Points decrease,-2.0,-5.0,-3.0
GA183,Business Information Systems,298.0,296.0,309.0,Points decrease,2.0,-11.0,-13.0
GA184,Marketing and Sales,300.0,307.0,307.0,Points decrease,-7.0,-7.0,0.0
GA185,Finance and Economics,318.0,293.0,307.0,Points decrease,25.0,11.0,-14.0
GA186,Business with Entrepreneurship,287.0,280.0,297.0,Points decrease,7.0,-10.0,-17.0
GA187,Rural Enterprise and Agri-Business,291.0,281.0,280.0,Points decrease,10.0,11.0,1.0
GA281,Film and Documentary,310.0,304.0,287.0,Points decrease,6.0,23.0,17.0
GA282,Heritage Studies,252.0,220.0,238.0,Points decrease,32.0,14.0,-18.0
GA283,Contemporary Art (portfolio),790.0,679.0,260.0,Points decrease,111.0,530.0,419.0
GA284,Design,331.0,303.0,309.0,Points decrease,28.0,22.0,-6.0
GA285,Education (Art  Design and Graphics),406.0,,,Points decrease,,,
GA380,International Hotel Management,218.0,242.0,225.0,Points decrease,-24.0,-7.0,17.0
GA381,International Tourism Management,252.0,278.0,261.0,Points decrease,-26.0,-9.0,17.0
GA382,Culinary and Gastronomic Science,235.0,206.0,225.0,Points decrease,29.0,10.0,-19.0
GA384,Event Management with Public Relations,230.0,212.0,209.0,Points decrease,18.0,21.0,3.0
GA480,Construction Management,302.0,260.0,260.0,Points decrease,42.0,42.0,0.0
GA482,Quantity Surveying and Construction Economics,304.0,288.0,280.0,Points decrease,16.0,24.0,8.0
GA483,Architectural Technology,281.0,265.0,251.0,Points decrease,16.0,30.0,14.0
GA484,Civil Engineering,377.0,290.0,270.0,Points decrease,87.0,107.0,20.0
GA580,Software and Electronic Engineering,300.0,300.0,301.0,Points decrease,0.0,-1.0,-1.0
GA680,Mechanical Engineering,400.0,330.0,336.0,Points decrease,70.0,64.0,-6.0
GA681,Energy Engineering,312.0,293.0,281.0,Points decrease,19.0,31.0,12.0
GA682,Biomedical Engineering,331.0,313.0,331.0,Points decrease,18.0,0.0,-18.0
GA683,Agricultural Engineering,304.0,309.0,301.0,Points decrease,-5.0,3.0,8.0
GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413.0,340.0,346.0,Points decrease,73.0,67.0,-6.0
GA685,Manufacturing Engineering Design,336.0,309.0,,Points decrease,27.0,,
GA780,Applied Freshwater and Marine Biology,366.0,327.0,300.0,Points decrease,39.0,66.0,27.0
GA781,Applied Biology and Biopharmaceutical Science,381.0,337.0,317.0,Points decrease,44.0,64.0,20.0
GA782,Chemical and Pharmaceutical Science,356.0,336.0,307.0,Points decrease,20.0,49.0,29.0
GA783,Physics and Instrumentation,301.0,363.0,373.0,Points decrease,-62.0,-72.0,-10.0
GA784,Science (Undenominated),445.0,372.0,327.0,Points decrease,73.0,118.0,45.0
GA785,Medical Science,517.0,473.0,451.0,Points decrease,44.0,66.0,22.0
GA786,Forensic Science and Analysis,408.0,317.0,300.0,Points decrease,91.0,108.0,17.0
GA787,Computing in Software Development,310.0,270.0,275.0,Points decrease,40.0,35.0,-5.0
GA788,Computing and Digital Media,270.0,274.0,270.0,Points decrease,-4.0,0.0,4.0
GA789,Agriculture and Environmental Management,340.0,287.0,297.0,Points decrease,53.0,43.0,-10.0
GA790,Sport and Exercise Science,376.0,356.0,350.0,Points decrease,20.0,26.0,6.0
GA791,Public Health Nutrition,368.0,368.0,364.0,Points decrease,0.0,4.0,4.0
GA880,General Nursing,440.0,429.0,389.0,Points decrease,11.0,51.0,40.0
GA882,Psychiatric Nursing,369.0,367.0,346.0,Points decrease,2.0,23.0,21.0
GA885,Outdoor Education,269.0,252.0,210.0,Points decrease,17.0,59.0,42.0
GA887,History and Geography,201.0,244.0,228.0,Points decrease,-43.0,-27.0,16.0
GA889,Applied Social Care,265.0,266.0,260.0,Points decrease,-1.0,5.0,6.0
GA890,Early Childhood Education and Care,281.0,270.0,278.0,Points decrease,11.0,3.0,-8.0
GA891,Geography and Outdoor Education,261.0,244.0,,Points decrease,17.0,,
GA892,Community Development and Youth Work (Level 8),,,,Points decrease,,,
GA980,Education (Design Graphics and Construction),410.0,377.0,376.0,Points decrease,33.0,34.0,1.0
GA981,Furniture Design and Manufacture,346.0,,271.0,Points decrease,,75.0,
GA982,Furniture Making and Architectural Woodworking,360.0,,270.0,Points decrease,,90.0,
GA983,Furniture and Digital Manufacturing,,,,Points decrease,,,
GA984,Furniture Design  Making and Technology - Common E,486.0,284.0,,Points decrease,202.0,,
GY101,Arts (Joint-Honours),327.0,300.0,300.0,Points decrease,27.0,27.0,0.0
GY104,BSc (Psychology),564.0,523.0,507.0,Points decrease,41.0,57.0,16.0
GY105,Arts (History),357.0,301.0,318.0,Points decrease,56.0,39.0,-17.0
GY109,Arts (Mathematics and Education),413.0,403.0,411.0,Points decrease,10.0,2.0,-8.0
GY110,Arts (Children and Youth Studies - options),387.0,357.0,382.0,Points decrease,30.0,5.0,-25.0
GY111,Arts (English and Creative Writing),421.0,330.0,402.0,Points decrease,91.0,19.0,-72.0
GY113,Arts with Human Rights,413.0,368.0,338.0,Points decrease,45.0,75.0,30.0
GY115,Arts with Performing Arts Studies,300.0,387.0,328.0,Points decrease,-87.0,-28.0,59.0
GY118,Arts (Drama  Theatre and Performance Studies),453.0,451.0,410.0,Points decrease,2.0,43.0,41.0
GY119,Arts (Journalism),484.0,400.0,410.0,Points decrease,84.0,74.0,-10.0
GY122,Na Dána (Cumarsáid agus Gaeilge),410.0,361.0,308.0,Points decrease,49.0,102.0,53.0
GY123,Applied Social Sciences,419.0,358.0,357.0,Points decrease,61.0,62.0,1.0
GY125,Arts (Digital Arts and Technology),403.0,328.0,324.0,Points decrease,75.0,79.0,4.0
GY127,Arts (Film and Digital Media),430.0,401.0,387.0,Points decrease,29.0,43.0,14.0
GY128,Arts (Global Languages),346.0,352.0,370.0,Points decrease,-6.0,-24.0,-18.0
GY129,Arts (Global Experience),465.0,420.0,408.0,Points decrease,45.0,57.0,12.0
GY130,Arts (Music),462.0,408.0,400.0,Points decrease,54.0,62.0,8.0
GY132,Government (Politics  Economics and Law),465.0,407.0,402.0,Points decrease,58.0,63.0,5.0
GY133,Education (Computer Science and Mathematical Studi,454.0,422.0,401.0,Points decrease,32.0,53.0,21.0
GY134,Geography and Geosystems,425.0,410.0,,Points decrease,15.0,,
GY135,Arts (Global Media),442.0,,,Points decrease,,,
GY136,Na Dána (Léann Teanga - options),526.0,,,Points decrease,,,
GY201,Commerce,476.0,433.0,420.0,Points decrease,43.0,56.0,13.0
GY202,Commerce (International) with French,520.0,484.0,484.0,Points decrease,36.0,36.0,0.0
GY203,Commerce (International) with German,518.0,489.0,489.0,Points decrease,29.0,29.0,0.0
GY204,Commerce (International) with Spanish,506.0,495.0,484.0,Points decrease,11.0,22.0,11.0
GY206,Business Information Systems (Work Placement and O,509.0,465.0,431.0,Points decrease,44.0,78.0,34.0
GY207,Commerce (Accounting) including optional Global Ex,543.0,509.0,486.0,Points decrease,34.0,57.0,23.0
GY208,Commerce (Gaeilge),508.0,473.0,473.0,Points decrease,35.0,35.0,0.0
GY209,Commerce (Global Experience),551.0,530.0,509.0,Points decrease,21.0,42.0,21.0
GY250,Law and Business,510.0,487.0,436.0,Points decrease,23.0,74.0,51.0
GY251,Law (BCL),542.0,499.0,473.0,Points decrease,43.0,69.0,26.0
GY252,Law (BCL) and Human Rights,565.0,520.0,510.0,Points decrease,45.0,55.0,10.0
GY253,Law and Taxation,506.0,509.0,,Points decrease,-3.0,,
GY254,Law (BCL)  Criminology and Criminal Justice,548.0,530.0,,Points decrease,18.0,,
GY261,Business Studies in International Hotel Management,503.0,497.0,486.0,Points decrease,6.0,17.0,11.0
GY262,Commerce in International Hotel Management (interv,709.0,681.0,671.0,Points decrease,28.0,38.0,10.0
GY301,Science,489.0,433.0,400.0,Points decrease,56.0,89.0,33.0
GY303,Biomedical Science,613.0,556.0,533.0,Points decrease,57.0,80.0,23.0
GY304,Biotechnology,498.0,465.0,473.0,Points decrease,33.0,25.0,-8.0
GY308,Environmental Science,431.0,408.0,413.0,Points decrease,23.0,18.0,-5.0
GY309,Financial Mathematics and Economics,509.0,487.0,454.0,Points decrease,22.0,55.0,33.0
GY310,Marine Science,467.0,419.0,409.0,Points decrease,48.0,58.0,10.0
GY313,Environmental Health and Safety,412.0,412.0,402.0,Points decrease,0.0,10.0,10.0
GY314,Earth and Ocean Sciences,422.0,403.0,402.0,Points decrease,19.0,20.0,1.0
