code,title,points_r1_2021,points_r1_2020,points_r1_2019,Change 21 vs 20,21vs20,21vs19,20vs19
CW038,Art (portfolio),700.0,700.0,700.0,Points decrease,0.0,0.0,0.0
CW058,Tourism and Event Management,292.0,298.0,252.0,Points decrease,-6.0,40.0,46.0
CW068,Applied Social Studies in Professional Social Care,250.0,245.0,251.0,Points decrease,5.0,-1.0,-6.0
CW078,Sustainable Farm Management and Agribusiness,270.0,269.0,266.0,Points decrease,1.0,4.0,3.0
CW088,Visual Communications and Design,270.0,274.0,309.0,Points decrease,-4.0,-39.0,-35.0
CW108,Science (options),266.0,261.0,261.0,Points decrease,5.0,5.0,0.0
CW128,Brewing and Distilling,307.0,263.0,271.0,Points decrease,44.0,36.0,-8.0
CW138,Sport and Exercise Science,430.0,423.0,,Points decrease,7.0,,
CW148,Strength and Conditioning,388.0,379.0,,Points decrease,9.0,,
CW188,Sport Rehabilitation and Athletic Therapy,451.0,451.0,454.0,Points decrease,0.0,-3.0,-3.0
CW208,Computer Games Development,272.0,279.0,281.0,Points decrease,-7.0,-9.0,-2.0
CW238,Software Development,295.0,297.0,300.0,Points decrease,-2.0,-5.0,-3.0
CW248,Information Technology Management,293.0,285.0,307.0,Points decrease,8.0,-14.0,-22.0
CW258,Cybercrime and IT Security,292.0,293.0,300.0,Points decrease,-1.0,-8.0,-7.0
CW268,Computing in Interactive Digital Art and Design,291.0,287.0,274.0,Points decrease,4.0,17.0,13.0
CW438,Construction (options),260.0,272.0,271.0,Points decrease,-12.0,-11.0,1.0
CW468,Architectural Technology,291.0,262.0,252.0,Points decrease,29.0,39.0,10.0
CW478,Civil Engineering,465.0,433.0,348.0,Points decrease,32.0,117.0,85.0
CW548,Mechanical Engineering,330.0,321.0,310.0,Points decrease,9.0,20.0,11.0
CW558,Electronic Systems,280.0,280.0,279.0,Points decrease,0.0,1.0,1.0
CW568,Aerospace Engineering,371.0,380.0,366.0,Points decrease,-9.0,5.0,14.0
CW578,TV and Media Production,318.0,325.0,327.0,Points decrease,-7.0,-9.0,-2.0
CW708,Law - LLB,292.0,302.0,298.0,Points decrease,-10.0,-6.0,4.0
CW728,Product Design Innovation,246.0,252.0,286.0,Points decrease,-6.0,-40.0,-34.0
CW748,Early Childhood Education and Care,290.0,270.0,265.0,Points decrease,20.0,25.0,5.0
CW758,Professional Social Care Practice,360.0,336.0,290.0,Points decrease,24.0,70.0,46.0
CW808,Media and Public Relations,247.0,251.0,248.0,Points decrease,-4.0,-1.0,3.0
CW848,Digital Marketing with Analytics,269.0,254.0,279.0,Points decrease,15.0,-10.0,-25.0
CW858,Sports Management and Coaching (options  portfolio,700.0,700.0,700.0,Points decrease,0.0,0.0,0.0
CW908,Business (options),272.0,280.0,260.0,Points decrease,-8.0,12.0,20.0
CW938,Business with Law,270.0,283.0,270.0,Points decrease,-13.0,0.0,13.0
CW948,Accounting,319.0,300.0,301.0,Points decrease,19.0,18.0,-1.0
PC405,Social  Political and Community Studies,263.0,253.0,251.0,Points decrease,10.0,12.0,2.0
PC410,Arts and Humanities (fulfils Teaching Council requ,262.0,252.0,203.0,Points decrease,10.0,59.0,49.0
PC411,English and History (fulfils Teaching Council requ,243.0,255.0,168.0,Points decrease,-12.0,75.0,87.0
CR105,Chemical and Biopharmaceutical Engineering,443.0,443.0,432.0,Points decrease,0.0,11.0,11.0
CR106,Software Development,431.0,411.0,351.0,Points decrease,20.0,80.0,60.0
CR108,Mechanical Engineering,434.0,434.0,425.0,Points decrease,0.0,9.0,9.0
CR109,Structural Engineering,396.0,394.0,341.0,Points decrease,2.0,55.0,53.0
CR110,Automotive Business Management and Technology,336.0,311.0,318.0,Points decrease,25.0,18.0,-7.0
CR112,Creative Digital Media at CIT Crawford College of,390.0,361.0,335.0,Points decrease,29.0,55.0,26.0
CR116,Computer Systems,365.0,332.0,318.0,Points decrease,33.0,47.0,14.0
CR121,Music at CIT Cork School of Music,904.0,868.0,633.0,Points decrease,36.0,271.0,235.0
CR125,Popular Music at CIT Cork School of Music,1028.0,1088.0,972.0,Points decrease,-60.0,56.0,116.0
CR130,Musical Theatre at CIT Cork School of Music,525.0,548.0,500.0,Points decrease,-23.0,25.0,48.0
CR150,Business Information Systems,350.0,335.0,326.0,Points decrease,15.0,24.0,9.0
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,450.0,,979.0,Points decrease,,-529.0,
CR220,Fine Art at CIT Crawford College of Art and Design,400.0,,620.0,Points decrease,,-220.0,
CR225,Photography with New Media at CIT Crawford College,435.0,,920.0,Points decrease,,-485.0,
CR305,Physical Sciences (Common Entry),260.0,282.0,279.0,Points decrease,-22.0,-19.0,3.0
CR310,IT Management,347.0,297.0,282.0,Points decrease,50.0,65.0,15.0
CR320,Biomedical Science - Offered jointly by CIT and UC,590.0,565.0,546.0,Points decrease,25.0,44.0,19.0
CR325,Pharmaceutical Biotechnology,466.0,398.0,388.0,Points decrease,68.0,78.0,10.0
CR333,Nutrition and Health Science,425.0,402.0,360.0,Points decrease,23.0,65.0,42.0
CR335,Biological Sciences (Common Entry),473.0,420.0,381.0,Points decrease,53.0,92.0,39.0
CR340,Analytical Chemistry with Quality Assurance,327.0,251.0,288.0,Points decrease,76.0,39.0,-37.0
CR360,Instrument Engineering,301.0,261.0,291.0,Points decrease,40.0,10.0,-30.0
CR365,Environmental Science and Sustainable Technology,262.0,253.0,334.0,Points decrease,9.0,-72.0,-81.0
CR370,Agri-Biosciences,368.0,397.0,408.0,Points decrease,-29.0,-40.0,-11.0
CR400,Accounting,315.0,316.0,316.0,Points decrease,-1.0,-1.0,0.0
CR420,Marketing,290.0,285.0,288.0,Points decrease,5.0,2.0,-3.0
CR425,International Business with Language,279.0,298.0,300.0,Points decrease,-19.0,-21.0,-2.0
CR430,Sport and Exercise Management,402.0,322.0,,Points decrease,80.0,,
CR435,Coaching Science and Sports Pedagogy,410.0,,,Points decrease,,,
CR440,Montessori Education,409.0,288.0,,Points decrease,121.0,,
CR500,Engineering (Common Entry),475.0,411.0,381.0,Points decrease,64.0,94.0,30.0
CR510,Sustainable Energy Engineering,320.0,320.0,319.0,Points decrease,0.0,1.0,1.0
CR520,Biomedical Engineering,444.0,444.0,434.0,Points decrease,0.0,10.0,10.0
CR560,Architectural Technology,375.0,308.0,288.0,Points decrease,67.0,87.0,20.0
CR565,Interior Architecture,431.0,359.0,336.0,Points decrease,72.0,95.0,23.0
CR570,Quantity Surveying,375.0,336.0,279.0,Points decrease,39.0,96.0,57.0
CR572,Construction Management,300.0,269.0,253.0,Points decrease,31.0,47.0,16.0
CR580,Electrical Engineering,342.0,318.0,344.0,Points decrease,24.0,-2.0,-26.0
CR590,Electronic Engineering,329.0,303.0,342.0,Points decrease,26.0,-13.0,-39.0
CR600,Visual Communications at CIT Crawford College of A,280.0,,587.0,Points decrease,,-307.0,
CR660,Tourism Management,246.0,252.0,249.0,Points decrease,-6.0,-3.0,3.0
CR700,Theatre and Drama Studies at CIT Cork School of Mu,609.0,740.0,768.0,Points decrease,-131.0,-159.0,-28.0
CR930,Home Economics and Business,518.0,,,Points decrease,,,
CK101,Arts - 3 years,300.0,300.0,300.0,Points decrease,0.0,0.0,0.0
CK102,Social Science,434.0,412.0,391.0,Points decrease,22.0,43.0,21.0
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,339.0,302.0,340.0,Points decrease,37.0,-1.0,-38.0
CK105,Film and Screen Media - 3 years or 4 years (Intern,421.0,368.0,397.0,Points decrease,53.0,24.0,-29.0
CK107,Geographical and Archaeological Sciences - 3 or 4,312.0,328.0,326.0,Points decrease,-16.0,-14.0,2.0
CK108,Arts International - 4 years,440.0,401.0,429.0,Points decrease,39.0,11.0,-28.0
CK109,English - 3 years or 4 years (International Pathwa,367.0,318.0,347.0,Points decrease,49.0,20.0,-29.0
CK110,World Languages,488.0,452.0,456.0,Points decrease,36.0,32.0,-4.0
CK111,Early Years and Childhood Studies,409.0,419.0,398.0,Points decrease,-10.0,11.0,21.0
