,HEI,Course Code,INSTITUTION and COURSE,EOS,Mid
0,Athlone Institute of Technology,AL801,Software Design with Virtual Reality and Gaming,304.0,328.0
1,Athlone Institute of Technology,AL802,Software Design with Cloud Computing,301.0,306.0
2,Athlone Institute of Technology,AL803,Software Design with Mobile Apps and Connected Devices,309.0,337.0
3,Athlone Institute of Technology,AL805,Network Management and Cloud Infrastructure,329.0,442.0
4,Athlone Institute of Technology,AL810,Quantity Surveying,307.0,349.0
5,Athlone Institute of Technology,AL820,Mechanical and Polymer Engineering,300.0,358.0
6,Athlone Institute of Technology,AL830,General Nursing,410.0,429.0
7,Athlone Institute of Technology,AL832,Psychiatric Nursing,387.0,403.0
8,Athlone Institute of Technology,AL836,Nutrition and Health Science,352.0,383.0
9,Athlone Institute of Technology,AL837,Sports Science with Exercise Physiology,351.0,392.0
10,Athlone Institute of Technology,AL838,Biotechnology,302.0,372.0
11,Athlone Institute of Technology,AL839,Microbiology,322.0,371.0
12,Athlone Institute of Technology,AL840,Pharmaceutical Sciences,328.0,411.0
13,Athlone Institute of Technology,AL841,Athletic and Rehabilitation Therapy,423.0,430.0
14,Athlone Institute of Technology,AL842,Bioveterinary Science,310.0,366.0
15,Athlone Institute of Technology,AL843,Physical Activity and Health Science,310.0,330.0
16,Athlone Institute of Technology,AL850,Business,307.0,356.0
17,Athlone Institute of Technology,AL851,Business and Law,301.0,341.0
18,Athlone Institute of Technology,AL852,Accounting (with optional placement),290.0,346.0
19,Athlone Institute of Technology,AL853,Accounting and Law,305.0,320.0
20,Athlone Institute of Technology,AL855,Hospitality Management (with International placement),312.0,357.0
21,Athlone Institute of Technology,AL857,Digital Marketing,300.0,360.0
22,Athlone Institute of Technology,AL860,Social Care Practice,309.0,338.0
23,Athlone Institute of Technology,AL861,Animation and Illustration (portfolio),615.0,899.0
24,Athlone Institute of Technology,AL863,Graphic and Digital Design (portfolio),703.0,898.0
25,Athlone Institute of Technology,AL864,Early Years Care and Education,307.0,348.0
26,Athlone Institute of Technology,AL870,Applied Psychology,409.0,445.0
27,Institute of Technology Carlow,CW018,Business (options Wexford),327.0,349.0
28,Institute of Technology Carlow,CW028,Early Childhood Education and Care (Wexford),252.0,308.0
29,Institute of Technology Carlow,CW038,Art (portfolio Wexford),700.0,700.0
30,Institute of Technology Carlow,CW058,Tourism and Event Management (Wexford),252.0,262.0
31,Institute of Technology Carlow,CW068,Applied Social Studies - Professional Social Care (Wexford),251.0,280.0
32,Institute of Technology Carlow,CW078,Sustainable Farm Management and Agribusiness (Wexford),266.0,320.0
33,Institute of Technology Carlow,CW088,Visual Communications and Design (Wexford),309.0,345.0
34,Institute of Technology Carlow,CW108,Science (options),261.0,326.0
35,Institute of Technology Carlow,CW128,Brewing and Distilling,271.0,298.0
36,Institute of Technology Carlow,CW178,Sport Science (options),399.0,424.0
37,Institute of Technology Carlow,CW188,Sport Rehabilitation and Athletic Therapy,454.0,473.0
38,Institute of Technology Carlow,CW208,Computer Games Development,281.0,338.0
39,Institute of Technology Carlow,CW238,Software Development,300.0,343.0
40,Institute of Technology Carlow,CW248,Information Technology Management,307.0,357.0
41,Institute of Technology Carlow,CW258,Cybercrime and IT Security,300.0,328.0
42,Institute of Technology Carlow,CW268,Computing in Interactive Digital Art and Design,274.0,321.0
43,Institute of Technology Carlow,CW438,Construction (options),271.0,308.0
44,Institute of Technology Carlow,CW468,Architectural Technology,252.0,290.0
45,Institute of Technology Carlow,CW478,Civil Engineering,348.0,383.0
46,Institute of Technology Carlow,CW548,Mechanical Engineering,310.0,351.0
47,Institute of Technology Carlow,CW558,Electronic Systems,279.0,338.0
48,Institute of Technology Carlow,CW568,Aerospace Engineering,366.0,422.0
49,Institute of Technology Carlow,CW578,TV and Media Production,327.0,361.0
50,Institute of Technology Carlow,CW708,Law - LLB,298.0,328.0
51,Institute of Technology Carlow,CW728,Product Design Innovation,286.0,355.0
52,Institute of Technology Carlow,CW748,Early Childhood Education and Care,265.0,338.0
53,Institute of Technology Carlow,CW758,Applied Social Studies - Professional Social Care,290.0,319.0
54,Institute of Technology Carlow,CW808,Media and Public Relations,248.0,307.0
55,Institute of Technology Carlow,CW848,Digital Marketing with Analytics,279.0,307.0
56,Institute of Technology Carlow,CW858,Sports Management and Coaching (options portfolio),700.0,700.0
57,Institute of Technology Carlow,CW908,Business (options),260.0,307.0
58,Institute of Technology Carlow,CW938,Business with Law,270.0,288.0
59,Institute of Technology Carlow,CW948,Accounting,301.0,408.0
60,Carlow College St. Patrick`s,PC405,Social Political and Community Studies,251.0,296.0
61,Carlow College St. Patrick`s,PC410,Arts and Humanities (fulfils Teaching Council requirements),203.0,289.0
62,Carlow College St. Patrick`s,PC411,English and History (fulfils Teaching Council requirements),168.0,289.0
63,Cork Institute of Technology,CR105,Chemical and Biopharmaceutical Engineering,432.0,498.0
64,Cork Institute of Technology,CR106,Software Development,351.0,393.0
65,Cork Institute of Technology,CR108,Mechanical Engineering,425.0,487.0
66,Cork Institute of Technology,CR109,Structural Engineering,341.0,467.0
67,Cork Institute of Technology,CR110,Automotive Business Management and Technology,318.0,347.0
68,Cork Institute of Technology,CR112,Creative Digital Media,335.0,389.0
69,Cork Institute of Technology,CR116,Computer Systems,318.0,381.0
70,Cork Institute of Technology,CR121,Music at CIT Cork School of Music,633.0,1052.0
71,Cork Institute of Technology,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,972.0,1021.0
72,Cork Institute of Technology,CR126,Popular Music: Drums at CIT Cork School of Music,878.0,1043.0
73,Cork Institute of Technology,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,584.0,761.0
74,Cork Institute of Technology,CR128,Popular Music: Keyboards at CIT Cork School of Music,839.0,1009.0
75,Cork Institute of Technology,CR129,Popular Music: Voice at CIT Cork School of Music,857.0,927.0
76,Cork Institute of Technology,CR130,Musical Theatre,500.0,600.0
77,Cork Institute of Technology,CR150,Business Information Systems,326.0,371.0
78,Cork Institute of Technology,CR210,Contemporary Applied Art (Ceramics Glass Textiles) at CIT Crawford,979.0,979.0
79,Cork Institute of Technology,CR220,Fine Art at CIT Crawford College of Art and Design,620.0,819.0
80,Cork Institute of Technology,CR225,Photography with New Media,920.0,920.0
81,Cork Institute of Technology,CR305,Physical Sciences (Common Entry),279.0,309.0
82,Cork Institute of Technology,CR310,IT Management,282.0,317.0
83,Cork Institute of Technology,CR320,Biomedical Science (Offered jointly by CIT and UCC),546.0,556.0
84,Cork Institute of Technology,CR325,Pharmaceutical Biotechnology,388.0,422.0
85,Cork Institute of Technology,CR333,Nutrition and Health Science,360.0,393.0
86,Cork Institute of Technology,CR335,Biological Sciences (Common Entry),381.0,419.0
87,Cork Institute of Technology,CR340,Analytical Chemistry with Quality Assurance,288.0,315.0
88,Cork Institute of Technology,CR360,Instrument Engineering,291.0,329.0
