,HEI,Course Code,INSTITUTION and COURSE,EOS,Mid
588,Glwy-Myo Insiue of Technology,GA786,Forensic Science nd Anlysis,300,366.0
589,Glwy-Myo Insiue of Technology,GA787,Copuing in Sofwre Developen,275,327.0
590,Glwy-Myo Insiue of Technology,GA788,Copuing nd Digil Medi,270,327.0
591,Glwy-Myo Insiue of Technology,GA789,Agriculure nd Environenl Mngeen (Mounbellew Cpus),297,339.0
592,Glwy-Myo Insiue of Technology,GA790,Spor nd Exercise Science,350,379.0
593,Glwy-Myo Insiue of Technology,GA791,Public Helh Nuriion,364,397.0
594,Glwy-Myo Insiue of Technology,GA880,Generl Nursing - Myo Cpus,389,400.0
595,Glwy-Myo Insiue of Technology,GA882,Psychiric Nursing - Myo Cpus,346,370.0
596,Glwy-Myo Insiue of Technology,GA885,Oudoor Educion - Myo Cpus,210,298.0
597,Glwy-Myo Insiue of Technology,GA887,Hisory nd Geogrphy - Myo Cpus,228,296.0
598,Glwy-Myo Insiue of Technology,GA889,Applied Socil Cre - Myo Cpus,260,297.0
599,Glwy-Myo Insiue of Technology,GA890,Erly Childhood Cre nd Educion - Myo Cpus,278,319.0
600,Glwy-Myo Insiue of Technology,GA980,Educion (Design Grphics nd Consrucion) - Leerfrck Cpus,376,389.0
601,Glwy-Myo Insiue of Technology,GA981,Furniure Design nd Mnufcure - Leerfrck Cpus,271,350.0
602,Glwy-Myo Insiue of Technology,GA982,Furniure nd Wood Technology - Leerfrck Cpus,270,352.0
603,Nionl Universiy of Irelnd Glwy,GY101,Ars (Join-Honours),300,374.0
604,Nionl Universiy of Irelnd Glwy,GY104,Ars (Psychology),507,529.0
605,Nionl Universiy of Irelnd Glwy,GY105,Ars (Hisory),318,358.0
606,Nionl Universiy of Irelnd Glwy,GY107,N Dán (Geilge gus Lénn n Aisriúcháin),330,397.0
607,Nionl Universiy of Irelnd Glwy,GY109,Ars (Mheics nd Educion),411,487.0
608,Nionl Universiy of Irelnd Glwy,GY110,Ars wih Children's Sudies,382,409.0
609,Nionl Universiy of Irelnd Glwy,GY111,Ars wih Creive Wriing,402,472.0
610,Nionl Universiy of Irelnd Glwy,GY112,Ars wih Fil Sudies,338,370.0
611,Nionl Universiy of Irelnd Glwy,GY113,Ars wih Hun Righs,338,409.0
612,Nionl Universiy of Irelnd Glwy,GY115,Ars wih Perforing Ars Sudies,328,367.0
613,Nionl Universiy of Irelnd Glwy,GY118,Ars (Dr There nd Perfornce Sudies),410,451.0
614,Nionl Universiy of Irelnd Glwy,GY119,Journlis,410,475.0
615,Nionl Universiy of Irelnd Glwy,GY120,Ars (Child Youh nd Fily: Policy nd Prcice),309,346.0
616,Nionl Universiy of Irelnd Glwy,GY121,Ars (Children's Sudies),356,389.0
617,Nionl Universiy of Irelnd Glwy,GY122,N Dán (Cursáid gus Geilge) ,308,399.0
618,Nionl Universiy of Irelnd Glwy,GY123,BSc (Applied Socil Sciences),357,388.0
619,Nionl Universiy of Irelnd Glwy,GY124,Ars (Ars wih D Science),434,466.0
620,Nionl Universiy of Irelnd Glwy,GY125,Ars (Digil Ars nd Technology),324,379.0
621,Nionl Universiy of Irelnd Glwy,GY126,Ars (English nd Medi Sudies),418,451.0
622,Nionl Universiy of Irelnd Glwy,GY127,Ars (Fil nd Digil Medi),387,435.0
623,Nionl Universiy of Irelnd Glwy,GY128,Ars (Globl Lnguges),370,440.0
624,Nionl Universiy of Irelnd Glwy,GY129,Ars (Inernionl),408,477.0
625,Nionl Universiy of Irelnd Glwy,GY130,Ars (Music),400,444.0
626,Nionl Universiy of Irelnd Glwy,GY131,Ars (Hisory nd Globlision Sudies),340,431.0
627,Nionl Universiy of Irelnd Glwy,GY132,Governen (Poliics Econoics nd Lw),402,444.0
628,Nionl Universiy of Irelnd Glwy,GY133,Educion (Copuer Science nd Mheicl  Sudies),401,466.0
629,Nionl Universiy of Irelnd Glwy,GY201,Coerce,420,453.0
630,Nionl Universiy of Irelnd Glwy,GY202,Coerce (Inernionl) wih French,484,513.0
631,Nionl Universiy of Irelnd Glwy,GY203,Coerce (Inernionl) wih Gern,489,541.0
632,Nionl Universiy of Irelnd Glwy,GY204,Coerce (Inernionl) wih Spnish,484,500.0
633,Nionl Universiy of Irelnd Glwy,GY206,Business Inforion Syses (Work Plceen & Opionl In`l Sudy),431,445.0
634,Nionl Universiy of Irelnd Glwy,GY207,Coerce (Accouning) including opionl Globl Experience yer,486,510.0
635,Nionl Universiy of Irelnd Glwy,GY208,Coerce (Geilge),473,488.0
636,Nionl Universiy of Irelnd Glwy,GY209,Coerce (Globl Experience),509,531.0
637,Nionl Universiy of Irelnd Glwy,GY250,Lw & Business,436,467.0
638,Nionl Universiy of Irelnd Glwy,GY251,Lw,473,498.0
639,Nionl Universiy of Irelnd Glwy,GY252,Lw & Hun Righs,510,521.0
640,Nionl Universiy of Irelnd Glwy,GY261,Business Sudies (Inernionl Hoel Mngeen Shnnon),486,615.0
641,Nionl Universiy of Irelnd Glwy,GY262,Coerce (Inernionl Hoel Mngeen Shnnon),671,726.0
642,Nionl Universiy of Irelnd Glwy,GY301,Science,400,456.0
643,Nionl Universiy of Irelnd Glwy,GY303,Bioedicl Science,533,566.0
644,Nionl Universiy of Irelnd Glwy,GY304,Bioechnology,473,507.0
645,Nionl Universiy of Irelnd Glwy,GY308,Environenl Science,413,440.0
646,Nionl Universiy of Irelnd Glwy,GY309,Finncil Mheics nd Econoics,454,498.0
647,Nionl Universiy of Irelnd Glwy,GY310,Mrine Science,409,456.0
648,Nionl Universiy of Irelnd Glwy,GY313,Environenl Helh nd Sfey,402,435.0
649,Nionl Universiy of Irelnd Glwy,GY314,Erh nd Ocen Sciences,402,425.0
650,Nionl Universiy of Irelnd Glwy,GY318,Biophrceuicl Cheisry,510,532.0
651,Nionl Universiy of Irelnd Glwy,GY319,Mheicl Science,456,531.0
652,Nionl Universiy of Irelnd Glwy,GY320,Physics (Degree opions: AppliedAsrophysicsBioediclTheoreicl),401,487.0
653,Nionl Universiy of Irelnd Glwy,GY350,Copuer Science nd Inforion Technology,425,466.0
654,Nionl Universiy of Irelnd Glwy,GY401,Engineering (Undenoined),444,499.0
655,Nionl Universiy of Irelnd Glwy,GY402,Civil Engineering,509,543.0
656,Nionl Universiy of Irelnd Glwy,GY405,Mechnicl Engineering,443,499.0
657,Nionl Universiy of Irelnd Glwy,GY406,Elecronic nd Copuer Engineering,509,547.0
658,Nionl Universiy of Irelnd Glwy,GY408,Bioedicl Engineering,519,543.0
659,Nionl Universiy of Irelnd Glwy,GY410,Projec nd Consrucion Mngeen,434,464.0
660,Nionl Universiy of Irelnd Glwy,GY413,Energy Syses Engineering,532,589.0
661,Nionl Universiy of Irelnd Glwy,GY414,Elecricl nd Elecronic Engineering,454,487.0
662,Nionl Universiy of Irelnd Glwy,GY501,Medicine (five yer/six yer course HPAT required),726,731.0
663,Nionl Universiy of Irelnd Glwy,GY502,Occupionl Therpy,532,543.0
664,Nionl Universiy of Irelnd Glwy,GY503,Speech nd Lnguge Therpy,529,543.0
665,Nionl Universiy of Irelnd Glwy,GY504,Podiric Medicine,434,463.0
666,Nionl Universiy of Irelnd Glwy,GY515,Generl Nursing (Glwy nd Poriuncul),442,466.0
667,Nionl Universiy of Irelnd Glwy,GY516,Menl Helh Nursing,388,413.0
668,Nionl Universiy of Irelnd Glwy,GY517,Midwifery,429,468.0
669,Leerkenny Insiue of Technology,LY108,Business - Accouning,318,399.0
670,Leerkenny Insiue of Technology,LY118,Business,287,352.0
671,Leerkenny Insiue of Technology,LY208,Lw,300,359.0
672,Leerkenny Insiue of Technology,LY218,Business - wih Spnish/Irish opions,298,367.0
673,Leerkenny Insiue of Technology,LY228,Spors nd Exercise (Coon Enry),278,330.0
674,Leerkenny Insiue of Technology,LY408,Design (Coon Enry),307,368.0
675,Leerkenny Insiue of Technology,LY508,Fire Sfey Engineering,270,299.0
676,Leerkenny Insiue of Technology,LY518,Quniy Surveying,307,368.0
677,Leerkenny Insiue of Technology,LY528,Consrucion Mngeen,267,291.0
678,Leerkenny Insiue of Technology,LY608,Mechnicl Engineering,304,333.0
679,Leerkenny Insiue of Technology,LY618,Elecronics nd Ebedded Syses,307,339.0
680,Leerkenny Insiue of Technology,LY708,Applied Copuing,300,348.0
681,Leerkenny Insiue of Technology,LY818,Science (Coon Enry),302,371.0
682,Leerkenny Insiue of Technology,LY828,Agriculure (Coon Enry),300,342.0
683,Leerkenny Insiue of Technology,LY908,Generl Nursing,383,390.0
684,Leerkenny Insiue of Technology,LY918,Psychiric Nursing,291,332.0
685,Leerkenny Insiue of Technology,LY928,Inellecul Disbiliy Nursing,288,299.0
686,Leerkenny Insiue of Technology,LY968,Erly Childhood Cre Helh nd Educion,300,336.0
687,Leerkenny Insiue of Technology,LY978,Helh & Socil Cre (Coon Enry),260,299.0
688,Mry Icule College,MI001,Coneporry & Applied There Sudies,345,381.0
689,Mry Icule College,MI002,Ars (offered in conjuncion wih he Universiy of Lierick),300,378.0
690,Mry Icule College,MI005,Educion - Priry Teching,473,506.0
691,Mry Icule College,MI006,Educion - Priry Teching (Gelch Applicns),442,473.0
692,Mry Icule College,MI007,Erly Childhood Cre nd Educion,366,402.0
693,Mry Icule College,MI008,Educion nd Psychology - Priry Teching,543,555.0
694,Mry Icule College,MI009,Educion Business Sudies nd Accouning (Thurles Cpus),392,420.0
695,Mry Icule College,MI010,Educion Business Sudies nd Religious Sudies (Thurles Cpus),326,355.0
696,Mry Icule College,MI011,Educion Irish nd Religious Sudies (Thurles Cpus),377,387.0
697,Mry Icule College,MI012,Educion Irish nd Business Sudies (Thurles Cpus),398,440.0
698,Mry Icule College,MI013,Educion Mheics nd Geilge (Thurles Cpus),433,465.0
699,Irish College of Huniies & Applied Sciences,CI101,Counselling nd Psychoherpy (Lierick),276,328.0
700,Lierick Insiue of Technology,LC110,Ar nd Design (Coon Enry porfolio),734,918.0
701,Lierick Insiue of Technology,LC114,Fshion nd Texiles for Produc nd Cosue (porfolio),900,988.0
702,Lierick Insiue of Technology,LC220,Digil Mrkeing,254,288.0
703,Lierick Insiue of Technology,LC223,Lw nd Txion,308,372.0
704,Lierick Insiue of Technology,LC224,Accouning nd Finnce,299,382.0
705,Lierick Insiue of Technology,LC225,Mrkeing nd Mngeen,298,337.0
706,Lierick Insiue of Technology,LC226,Enerprise nd Innovion,216,298.0
707,Lierick Insiue of Technology,LC233,Sofwre Developen,300,371.0
708,Lierick Insiue of Technology,LC234,Inercive Digil Medi,219,288.0
709,Lierick Insiue of Technology,LC236,Inerne Syses Developen,298,319.0
710,Lierick Insiue of Technology,LC239,Copuer Neworks nd Syses Mngeen,335,347.0
711,Lierick Insiue of Technology,LC241,Consrucion Mngeen,276,303.0
712,Lierick Insiue of Technology,LC242,Propery Vluion nd Mngeen,292,328.0
713,Lierick Insiue of Technology,LC243,Quniy Surveying,281,360.0
714,Lierick Insiue of Technology,LC248,Buil Environen (Coon Enry),307,350.0
715,Lierick Insiue of Technology,LC252,Civil Engineering Mngeen,281,331.0
716,Lierick Insiue of Technology,LC263,Clinicl Technology,282,359.0
717,Lierick Insiue of Technology,LC265,Forensic nd Phrceuicl Sciences,335,368.0
718,Lierick Insiue of Technology,LC266,Drug nd Medicinl Produc Anlysis,236,299.0
719,Lierick Insiue of Technology,LC275,Elecricl Engineering,288,340.0
720,Lierick Insiue of Technology,LC288,Mechnicl Engineering,307,360.0
721,Lierick Insiue of Technology,LC289,Precision Engineering,280,369.0
722,Lierick Insiue of Technology,LC292,Socil Cre Work,360,389.0
723,Lierick Insiue of Technology,LC293,Business Sudies wih Trvel nd Touris Mngeen,299,326.0
724,Lierick Insiue of Technology,LC294,Business Sudies wih Even Mngeen,271,300.0
725,Lierick Insiue of Technology,LC295,Business Sudies wih Spors Mngeen,263,298.0
726,Lierick Insiue of Technology,LC297,Couniy Developen,217,269.0
727,Lierick Insiue of Technology,LC320,Business,337,378.0
728,Lierick Insiue of Technology,LC330,Business wih Copuing,298,326.0
729,Lierick Insiue of Technology,LC340,Inerior Design,298,349.0
730,Lierick Insiue of Technology,LC362,Bioechnology nd Biophrceuicl Sciences,379,402.0
731,Lierick Insiue of Technology,LC371,Creive Brodcs nd Fil Producion,298,339.0
732,Lierick Insiue of Technology,LC372,Music Technology nd Producion,321,369.0
733,Lierick Insiue of Technology,LC374,Renewble nd Elecricl Energy Engineering,317,368.0
734,Lierick Insiue of Technology,LC375,Indusril Auoion & Roboic Syses,321,368.0
735,Lierick Insiue of Technology,LC376,Elecronic Engineering,308,346.0
736,Lierick Insiue of Technology,LC380,Auooive Engineering nd Trnspor Mngeen,282,329.0
737,Lierick Insiue of Technology,LC392,Beuy nd Sp Mngeen,217,318.0
738,Lierick Insiue of Technology,LC393,Erly Childhood Educion & Cre,260,309.0
739,Lierick Insiue of Technology,LC401,Erly Childhood Educion & Cre (Thurles),298,387.0
740,Lierick Insiue of Technology,LC402,Socil Cre Work (Thurles),209,290.0
741,Lierick Insiue of Technology,LC408,Environenl nd Geogrphicl Sciences (Thurles),262,346.0
742,Lierick Insiue of Technology,LC411,Mrkeing nd Mngeen (Thurles),226,300.0
743,Lierick Insiue of Technology,LC418,Copuing - Ges Design nd Developen (Thurles),271,318.0
744,Lierick Insiue of Technology,LC422,Spors Srengh nd Condiioning (Thurles),288,333.0
745,Lierick Insiue of Technology,LC434,Environenl Mngeen in Agriculure (Thurles),278,347.0
746,Lierick Insiue of Technology,LC502,Ge Ar nd Design (Clonel porfolio),838,950.0
747,Lierick Insiue of Technology,LC517,Creive Medi nd Design (Clonel),229,273.0
748,Lierick Insiue of Technology,LC518,Digil Aniion Producion (Clonel porfolio),816,962.0
749,Lierick Insiue of Technology,LC612,Socil Cre Work (Ennis),319,338.0
750,Lierick Insiue of Technology,LC613,Erly Childhood Educion & Cre (Ennis),346,388.0
751,Universiy of Lierick,LM002,Ars (offered in conjuncion wih Mry Icule College),329,388.0
752,Universiy of Lierick,LM020,Lw nd Accouning,436,476.0
753,Universiy of Lierick,LM026,Perforing Ars (udiion required),307,367.0
754,Universiy of Lierick,LM028,Criinl Jusice,387,409.0
755,Universiy of Lierick,LM029,Lw Plus,473,499.0
756,Universiy of Lierick,LM038,Psychology nd Sociology,478,489.0
757,Universiy of Lierick,LM039,Journlis nd New Medi,388,430.0
758,Universiy of Lierick,LM040,Europen Sudies,350,462.0
759,Universiy of Lierick,LM044,Applied Lnguges,404,473.0
760,Universiy of Lierick,LM050,Business Sudies,419,455.0
761,Universiy of Lierick,LM056,Inernionl Business,511,543.0
762,Universiy of Lierick,LM058,Finncil Mheics,434,543.0
763,Universiy of Lierick,LM063,Technology Mngeen,372,409.0
764,Universiy of Lierick,LM068,Food Science nd Helh,400,430.0
765,Universiy of Lierick,LM076,Produc Design nd Technology (porfolio required),402,466.0
766,Universiy of Lierick,LM077,Aeronuicl Engineering,469,531.0
767,Universiy of Lierick,LM082,Consrucion Mngeen nd Engineering,368,404.0
768,Universiy of Lierick,LM089,Spor nd Exercise Sciences,441,466.0
769,Universiy of Lierick,LM090,Physicl Educion wih concurren Techer Educion,498,520.0
770,Universiy of Lierick,LM092,Science wih Techer Ed (Biology wih Physics/Cheisry/Ag Science),478,509.0
771,Universiy of Lierick,LM093,Equine Science,338,381.0
772,Universiy of Lierick,LM094,Merils nd Archiecurl Technology wih concurren Techer Educion,405,433.0
773,Universiy of Lierick,LM095,Merils nd Engineering Technology wih concurren Techer Educion,358,409.0
774,Universiy of Lierick,LM096,Science wih Techer Ed (Physicl Sciences wih Cheisry nd Physics),382,422.0
775,Universiy of Lierick,LM099,Archiecure (porfolio required),419,473.0
776,Universiy of Lierick,LM100,Physioherpy,565,577.0
777,Universiy of Lierick,LM101,Medicine  - Grdue Enry (GAMSAT required),55,57.0
778,Universiy of Lierick,LM102,Psychology,495,519.0
779,Universiy of Lierick,LM103,Predic Sudies (B nd C1 Drivers Licence),313,403.0
780,Universiy of Lierick,LM115,Cheicl nd Biocheicl Engineering,456,520.0
781,Universiy of Lierick,LM116,Engineering (Bioedicl/Civil/Design nd Mnufcure/Mechnicl),434,498.0
782,Universiy of Lierick,LM118,Elecronic nd Copuer Engineering,401,498.0
783,Universiy of Lierick,LM121,Copuer Science (Copuer Syses/Ges Dev/Mobile Co Securiy),352,420.0
784,Universiy of Lierick,LM122,Creive Medi nd Inercion Design (Digil Design/Music Medi Tech),330,430.0
785,Universiy of Lierick,LM123,Biologicl & Cheicl Sciences (Biosci/Envir Sci/Ind Bio/IndPhr Che),412,455.0
786,Universiy of Lierick,LM124,Mheics (Mh Science/Mhs nd Physics/Econoics nd Mh Scienc,427,521.0
787,Universiy of Lierick,LM125,Physics (Applied Physics/Mheics nd Physics),405,509.0
788,Universiy of Lierick,LM150,Generl Nursing,440,463.0
789,Universiy of Lierick,LM152,Menl Helh Nursing,388,418.0
790,Universiy of Lierick,LM154,Inellecul Disbiliy Nursing,381,408.0
791,Universiy of Lierick,LM156,Midwifery,429,444.0
792,Ponificl Universiy S Prick's College,MU001,Theology nd Ars,290,318.0
793,Ponificl Universiy S Prick's College,MU002,Theology,292,377.0
794,Mynooh Universiy,MH001,Educion - Priry Teching (Froebel),496,520.0
795,Mynooh Universiy,MH002,Educion - Priry Teching - Gelch Applicns (Froebel),441,
796,Mynooh Universiy,MH101,Ars,316,369.0
797,Mynooh Universiy,MH103,Music,,367.0
798,Mynooh Universiy,MH106,Psychology - 3 yers,495,499.0
799,Mynooh Universiy,MH107,Socil Science,326,349.0
800,Mynooh Universiy,MH109,Medi Sudies,317,377.0
801,Mynooh Universiy,MH116,Couniy nd Youh Work (Full-Tie),,271.0
802,Mynooh Universiy,MH201,Science,350,392.0
803,Mynooh Universiy,MH202,Bioechnology,429,446.0
804,Mynooh Universiy,MH204,Physics wih Asrophysics,420,488.0
805,Mynooh Universiy,MH206,Theoreicl Physics nd Mheics,498,566.0
806,Mynooh Universiy,MH207,D Science,434,466.0
807,Mynooh Universiy,MH208,Biologicl nd Bioedicl Sciences,451,476.0
808,Mynooh Universiy,MH209,Psychology (hrough Science) - 4 yers,473,485.0
809,Mynooh Universiy,MH210,Phrceuicl nd Bioedicl Cheisry,446,466.0
810,Mynooh Universiy,MH212,Science/Copuer Science/Mheics (wih Educion) - opions,444,476.0
811,Mynooh Universiy,MH304,Engineering (Copuer/Elecronic/Counicions),371,423.0
812,Mynooh Universiy,MH305,Produc Design,358,411.0
813,Mynooh Universiy,MH306,Roboics nd Inelligen Devices,361,424.0
814,Mynooh Universiy,MH401,Finnce (opions),352,392.0
815,Mynooh Universiy,MH402,Quniive Finnce,476,487.0
816,Mynooh Universiy,MH403,Accouning nd Finnce,402,432.0
817,Mynooh Universiy,MH404,Business (opions),400,429.0
818,Mynooh Universiy,MH405,Equine Business,357,398.0
819,Mynooh Universiy,MH407,Business nd Accouning,401,420.0
820,Mynooh Universiy,MH411,Enrepreneurship,358,388.0
821,Mynooh Universiy,MH501,LLB Lw - four yer Single Mjor Lw progre,451,476.0
822,Mynooh Universiy,MH502,Lw (opions),410,442.0
823,Mynooh Universiy,MH601,Copuer Science hrough Ars (opions),342,369.0
824,Mynooh Universiy,MH602,Copuer Science hrough Science (opions),357,413.0
825,Mynooh Universiy,MH603,Copuionl Thinking,520,543.0
826,Mynooh Universiy,MH801,Erly Childhood - Teching nd Lerning (pr-ie),347,358.0
827,Mynooh Universiy,MH802,Couniy nd Youh Work (pr-ie in service,,
828,Mynooh Universiy,MH803,Locl Sudies or Couniy Sudies (pr-ie evening)- Mure Sudens,,
829,S. Angel`s College,AS001,Educion Hoe Econoics nd Biology - wih concurren Techer Ed,456,497.0
830,S. Angel`s College,AS002,Educion Hoe Econoics nd Religious Ed - wih concurren Techer Ed,400,433.0
831,S. Angel`s College,AS003,Educion Hoe Econoics nd Irish - wih concurren Techer Ed,421,457.0
832,S. Angel`s College,AS051,Nuriion Food nd Business Mngeen,337,399.0
833,S. Angel`s College,AS054,Hoe Econoics,387,401.0
834,S. Angel`s College,AS110,Generl Nursing,391,409.0
835,S. Angel`s College,AS130,Inellecul Disbiliy Nursing,317,338.0
836,Insiue of Technology Sligo,SG141,Business,252,317.0
837,Insiue of Technology Sligo,SG142,Business in Inernionl Mrkeing nd Sles wih French,270,388.0
838,Insiue of Technology Sligo,SG144,Business in Inernionl Mrkeing nd Sles wih Spnish,280,388.0
839,Insiue of Technology Sligo,SG146,Accouning,307,347.0
840,Insiue of Technology Sligo,SG147,Spor wih Business,269,316.0
841,Insiue of Technology Sligo,SG148,Touris wih Even Mngeen,246,282.0
842,Insiue of Technology Sligo,SG149,Business in Finnce nd Invesen,262,357.0
843,Insiue of Technology Sligo,SG241,Perforing Ars,279,348.0
844,Insiue of Technology Sligo,SG242,Erly Childhood Cre nd Educion,278,318.0
845,Insiue of Technology Sligo,SG243,Socil Cre Prcice,297,338.0
846,Insiue of Technology Sligo,SG244,Fine Ar,355,496.0
847,Insiue of Technology Sligo,SG245,Creive Design,261,338.0
848,Insiue of Technology Sligo,SG246,Copuing,295,368.0
849,Insiue of Technology Sligo,SG247,English nd Psychology,308,336.0
850,Insiue of Technology Sligo,SG248,Sociology nd Poliics,282,320.0
851,Insiue of Technology Sligo,SG249,Wriing nd Lierure,279,338.0
852,Insiue of Technology Sligo,SG250,Applicion Design nd User Experience,290,431.0
853,Insiue of Technology Sligo,SG251,Copuing (Sr Technologies),303,391.0
854,Insiue of Technology Sligo,SG252,Sofwre Developen,300,354.0
855,Insiue of Technology Sligo,SG253,Copuer Neworks nd Cloud Infrsrucure,273,341.0
856,Insiue of Technology Sligo,SG343,Quniy Surveying,261,302.0
857,Insiue of Technology Sligo,SG346,Consrucion Projec Mngeen nd Applied Technology,289,351.0
858,Insiue of Technology Sligo,SG347,Archiecure,309,357.0
859,Insiue of Technology Sligo,SG441,Environenl Science,297,358.0
860,Insiue of Technology Sligo,SG442,Occupionl Sfey nd Helh,289,330.0
861,Insiue of Technology Sligo,SG443,Hun Nuriion,357,419.0
862,Insiue of Technology Sligo,SG444,Science (Undenoined),308,369.0
863,Insiue of Technology Sligo,SG445,Phrceuicl Science wih Drug Developen,347,369.0
864,Insiue of Technology Sligo,SG446,Applied Archeology,289,290.0
865,Insiue of Technology Sligo,SG447,Helh Science nd Physicl Aciviy,316,363.0
866,Insiue of Technology Sligo,SG448,Forensic Invesigion nd Anlysis,306,348.0
867,Insiue of Technology Sligo,SG449,Medicl Bioechnology,329,352.0
868,Insiue of Technology Trlee,TL801,Aniion Visul Effecs nd Moion Design,281,341.0
869,Insiue of Technology Trlee,TL802,TV Rdio nd New Medi,306,356.0
870,Insiue of Technology Trlee,TL803,Music Technology,264,288.0
871,Insiue of Technology Trlee,TL810,Copuing wih Sofwre Developen,309,341.0
872,Insiue of Technology Trlee,TL811,Copuing wih Ges Developen,310,334.0
873,Insiue of Technology Trlee,TL812,Copuing wih Digil Medi,369,369.0
874,Insiue of Technology Trlee,TL815,Copuing (Degree Awrd opions),308,378.0
875,Insiue of Technology Trlee,TL823,Even Mngeen (3 yer progre),291,346.0
876,Insiue of Technology Trlee,TL831,Business Sudies (Mjor Specilis in: Accng or Mkg or Mgn),307,372.0
877,Insiue of Technology Trlee,TL842,Consrucion Mngeen,,
878,Insiue of Technology Trlee,TL844,Agriculurl Engineering,311,368.0
879,Insiue of Technology Trlee,TL845,Civil Engineering,300,364.0
880,Insiue of Technology Trlee,TL847,Mnufcuring Engineering,,
881,Insiue of Technology Trlee,TL848,Agriculurl Science,331,362.0
882,Insiue of Technology Trlee,TL851,Wildlife Biology (Degree Awrd opions),310,362.0
883,Insiue of Technology Trlee,TL855,Phrceuicl Science (Degree Awrd opions),342,386.0
884,Insiue of Technology Trlee,TL858,Veerinry Bioscience,326,369.0
885,Insiue of Technology Trlee,TL871,Helh nd Leisure (Degree Awrd opions),303,346.0
886,Insiue of Technology Trlee,TL872,Helh nd Leisure wih Mssge,288,357.0
887,Insiue of Technology Trlee,TL873,Coching nd Spors Perfornce,282,336.0
888,Insiue of Technology Trlee,TL880,Erly Childhood Cre nd Educion,307,347.0
889,Insiue of Technology Trlee,TL881,Socil Cre,308,356.0
890,Insiue of Technology Trlee,TL889,Counselling wih Addicion - Mure pplicns only,,
891,Insiue of Technology Trlee,TL890,Generl Nursing nd Mure Applicns,407,431.0
892,Insiue of Technology Trlee,TL891,Menl Helh Nursing nd Mure Applicns,367,379.0
893,Werford Insiue of Technology,WD001,Applied Copuing (opions),279,358.0
894,Werford Insiue of Technology,WD002,Science (opions),302,377.0
895,Werford Insiue of Technology,WD005,Helh Sciences (opions),288,347.0
896,Werford Insiue of Technology,WD006,Exercise Sciences (opions),282,337.0
897,Werford Insiue of Technology,WD007,Engineering (opions),287,382.0
898,Werford Insiue of Technology,WD025,Consrucion Mngeen nd Engineering,269,327.0
899,Werford Insiue of Technology,WD027,Music,290,317.0
900,Werford Insiue of Technology,WD048,Business (opions),278,357.0
901,Werford Insiue of Technology,WD084,Accouning,307,403.0
902,Werford Insiue of Technology,WD091,Hospiliy Mngeen,210,281.0
903,Werford Insiue of Technology,WD116,Generl Nursing,413,430.0
904,Werford Insiue of Technology,WD117,Psychiric Nursing,361,382.0
905,Werford Insiue of Technology,WD120,Inellecul Disbiliy Nursing,338,359.0
906,Werford Insiue of Technology,WD134,Inernionl Business,289,350.0
907,Werford Insiue of Technology,WD137,Design (Visul Counicions),253,373.0
908,Werford Insiue of Technology,WD140,Lws,290,352.0
909,Werford Insiue of Technology,WD144,Archiecure,283,385.0
910,Werford Insiue of Technology,WD147,Phrceuicl Science,298,363.0
911,Werford Insiue of Technology,WD148,Touris Mrkeing,269,338.0
912,Werford Insiue of Technology,WD149,Erly Childhood Sudies,288,336.0
913,Werford Insiue of Technology,WD150,Criinl Jusice Sudies,271,311.0
914,Werford Insiue of Technology,WD152,Visul Ar,253,323.0
915,Werford Insiue of Technology,WD161,Copuer Forensics nd Securiy,262,401.0
916,Werford Insiue of Technology,WD162,Quniy Surveying,260,320.0
917,Werford Insiue of Technology,WD163,Psychology,390,429.0
918,Werford Insiue of Technology,WD186,Spors Coching nd Perfornce,276,327.0
919,Werford Insiue of Technology,WD187,Socil Science,271,321.0
920,Werford Insiue of Technology,WD191,Agriculurl Science,378,421.0
921,Werford Insiue of Technology,WD192,Socil Cre Prcice,279,323.0
922,Werford Insiue of Technology,WD193,Mrkeing nd Digil Medi,290,358.0
923,Werford Insiue of Technology,WD194,Culinry Ars,235,331.0
924,Werford Insiue of Technology,WD195,Archiecurl nd Building Inforion Modelling Technology,266,305.0
925,Werford Insiue of Technology,WD200,Ars (opions),221,296.0
926,Werford Insiue of Technology,WD210,Sofwre Syses Developen,271,329.0
927,Werford Insiue of Technology,WD211,Creive Copuing,275,322.0
928,Werford Insiue of Technology,WD212,Recreion nd Spor Mngeen,274,311.0
929,Werford Insiue of Technology,WD230,Mechnicl nd Mnufcuring Engineering,273,348.0
