code,title,points_r1_2021,points_r1_2020,points_r1_2019,Change 21 vs 20,21 vs 20,21 vs 19,20 vs 19,,,,,,
CW748,Early Childhood Education and Care,290,270,265,Points decrease,20,25,5,20,25,5,TRUE,TRUE,TRUE
CW758,Professional Social Care Practice,360,336,290,Points decrease,24,70,46,24,70,46,TRUE,TRUE,TRUE
CW808,Media and Public Relations,247,251,248,Points decrease,-4,-1,3,-4,-1,3,TRUE,TRUE,TRUE
CW848,Digital Marketing with Analytics,269,254,279,Points decrease,15,-10,-25,15,-10,-25,TRUE,TRUE,TRUE
CW858,Sports Management and Coaching (options  portfolio,700,700,700,Points decrease,0,0,0,0,0,0,TRUE,TRUE,TRUE
CW908,Business (options),272,280,260,Points decrease,-8,12,20,-8,12,20,TRUE,TRUE,TRUE
CW938,Business with Law,270,283,270,Points decrease,-13,0,13,-13,0,13,TRUE,TRUE,TRUE
CW948,Accounting,319,300,301,Points decrease,19,18,-1,19,18,-1,TRUE,TRUE,TRUE
PC405,Social  Political and Community Studies,263,253,251,Points decrease,10,12,2,10,12,2,TRUE,TRUE,TRUE
PC410,Arts and Humanities (fulfils Teaching Council requ,262,252,203,Points decrease,10,59,49,10,59,49,TRUE,TRUE,TRUE
PC411,English and History (fulfils Teaching Council requ,243,255,168,Points decrease,-12,75,87,-12,75,87,TRUE,TRUE,TRUE
CR105,Chemical and Biopharmaceutical Engineering,443,443,432,Points decrease,0,11,11,0,11,11,TRUE,TRUE,TRUE
CR106,Software Development,431,411,351,Points decrease,20,80,60,20,80,60,TRUE,TRUE,TRUE
CR108,Mechanical Engineering,434,434,425,Points decrease,0,9,9,0,9,9,TRUE,TRUE,TRUE
CR109,Structural Engineering,396,394,341,Points decrease,2,55,53,2,55,53,TRUE,TRUE,TRUE
CR110,Automotive Business Management and Technology,336,311,318,Points decrease,25,18,-7,25,18,-7,TRUE,TRUE,TRUE
CR112,Creative Digital Media at CIT Crawford College of,390,361,335,Points decrease,29,55,26,29,55,26,TRUE,TRUE,TRUE
CR116,Computer Systems,365,332,318,Points decrease,33,47,14,33,47,14,TRUE,TRUE,TRUE
CR121,Music at CIT Cork School of Music,904,868,633,Points decrease,36,271,235,36,271,235,TRUE,TRUE,TRUE
CR125,Popular Music at CIT Cork School of Music,1028,1088,972,Points decrease,-60,56,116,-60,56,116,TRUE,TRUE,TRUE
CR130,Musical Theatre at CIT Cork School of Music,525,548,500,Points decrease,-23,25,48,-23,25,48,TRUE,TRUE,TRUE
CR150,Business Information Systems,350,335,326,Points decrease,15,24,9,15,24,9,TRUE,TRUE,TRUE
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,450,,979,Points decrease,,-529,,450,-529,-979,FALSE,TRUE,FALSE
CR220,Fine Art at CIT Crawford College of Art and Design,400,,620,Points decrease,,-220,,400,-220,-620,FALSE,TRUE,FALSE
CR225,Photography with New Media at CIT Crawford College,435,,920,Points decrease,,-485,,435,-485,-920,FALSE,TRUE,FALSE
CR305,Physical Sciences (Common Entry),260,282,279,Points decrease,-22,-19,3,-22,-19,3,TRUE,TRUE,TRUE
CR310,IT Management,347,297,282,Points decrease,50,65,15,50,65,15,TRUE,TRUE,TRUE
CR320,Biomedical Science - Offered jointly by CIT and UC,590,565,546,Points decrease,25,44,19,25,44,19,TRUE,TRUE,TRUE
CR325,Pharmaceutical Biotechnology,466,398,388,Points decrease,68,78,10,68,78,10,TRUE,TRUE,TRUE
CR333,Nutrition and Health Science,425,402,360,Points decrease,23,65,42,23,65,42,TRUE,TRUE,TRUE
CR335,Biological Sciences (Common Entry),473,420,381,Points decrease,53,92,39,53,92,39,TRUE,TRUE,TRUE
CR340,Analytical Chemistry with Quality Assurance,327,251,288,Points decrease,76,39,-37,76,39,-37,TRUE,TRUE,TRUE
CR360,Instrument Engineering,301,261,291,Points decrease,40,10,-30,40,10,-30,TRUE,TRUE,TRUE
CR365,Environmental Science and Sustainable Technology,262,253,334,Points decrease,9,-72,-81,9,-72,-81,TRUE,TRUE,TRUE
CR370,Agri-Biosciences,368,397,408,Points decrease,-29,-40,-11,-29,-40,-11,TRUE,TRUE,TRUE
CR400,Accounting,315,316,316,Points decrease,-1,-1,0,-1,-1,0,TRUE,TRUE,TRUE
CR420,Marketing,290,285,288,Points decrease,5,2,-3,5,2,-3,TRUE,TRUE,TRUE
CR425,International Business with Language,279,298,300,Points decrease,-19,-21,-2,-19,-21,-2,TRUE,TRUE,TRUE
CR430,Sport and Exercise Management,402,322,,Points decrease,80,,,80,402,322,TRUE,FALSE,FALSE
CR435,Coaching Science and Sports Pedagogy,410,,,Points decrease,,,,410,410,0,FALSE,FALSE,TRUE
CR440,Montessori Education,409,288,,Points decrease,121,,,121,409,288,TRUE,FALSE,FALSE
CR500,Engineering (Common Entry),475,411,381,Points decrease,64,94,30,64,94,30,TRUE,TRUE,TRUE
CR510,Sustainable Energy Engineering,320,320,319,Points decrease,0,1,1,0,1,1,TRUE,TRUE,TRUE
CR520,Biomedical Engineering,444,444,434,Points decrease,0,10,10,0,10,10,TRUE,TRUE,TRUE
CR560,Architectural Technology,375,308,288,Points decrease,67,87,20,67,87,20,TRUE,TRUE,TRUE
CR565,Interior Architecture,431,359,336,Points decrease,72,95,23,72,95,23,TRUE,TRUE,TRUE
CR570,Quantity Surveying,375,336,279,Points decrease,39,96,57,39,96,57,TRUE,TRUE,TRUE
CR572,Construction Management,300,269,253,Points decrease,31,47,16,31,47,16,TRUE,TRUE,TRUE
CR580,Electrical Engineering,342,318,344,Points decrease,24,-2,-26,24,-2,-26,TRUE,TRUE,TRUE
CR590,Electronic Engineering,329,303,342,Points decrease,26,-13,-39,26,-13,-39,TRUE,TRUE,TRUE
CR600,Visual Communications at CIT Crawford College of A,280,,587,Points decrease,,-307,,280,-307,-587,FALSE,TRUE,FALSE
CR660,Tourism Management,246,252,249,Points decrease,-6,-3,3,-6,-3,3,TRUE,TRUE,TRUE
CR700,Theatre and Drama Studies at CIT Cork School of Mu,609,740,768,Points decrease,-131,-159,-28,-131,-159,-28,TRUE,TRUE,TRUE
CR930,Home Economics and Business,518,,,Points decrease,,,,518,518,0,FALSE,FALSE,TRUE
CK101,Arts - 3 years,300,300,300,Points decrease,0,0,0,0,0,0,TRUE,TRUE,TRUE
CK102,Social Science,434,412,391,Points decrease,22,43,21,22,43,21,TRUE,TRUE,TRUE
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,339,302,340,Points decrease,37,-1,-38,37,-1,-38,TRUE,TRUE,TRUE
CK105,Film and Screen Media - 3 years or 4 years (Intern,421,368,397,Points decrease,53,24,-29,53,24,-29,TRUE,TRUE,TRUE
CK107,Geographical and Archaeological Sciences - 3 or 4,312,328,326,Points decrease,-16,-14,2,-16,-14,2,TRUE,TRUE,TRUE
CK108,Arts International - 4 years,440,401,429,Points decrease,39,11,-28,39,11,-28,TRUE,TRUE,TRUE
CK109,English - 3 years or 4 years (International Pathwa,367,318,347,Points decrease,49,20,-29,49,20,-29,TRUE,TRUE,TRUE
CK110,World Languages,488,452,456,Points decrease,36,32,-4,36,32,-4,TRUE,TRUE,TRUE
CK111,Early Years and Childhood Studies,409,419,398,Points decrease,-10,11,21,-10,11,21,TRUE,TRUE,TRUE
CK112,Theatre and Performative Practices - 3 or 4 years,371,330,324,Points decrease,41,47,6,41,47,6,TRUE,TRUE,TRUE
CK113,Criminology - 3 years or 4 years (International Pa,464,423,408,Points decrease,41,56,15,41,56,15,TRUE,TRUE,TRUE
CK114,Social Science (Youth and Community Work),,,,Points decrease,,,,0,0,0,TRUE,TRUE,TRUE
CK115,Social Work - Mature Applicants only,,,,Points decrease,,,,0,0,0,TRUE,TRUE,TRUE
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347,336,307,Points decrease,11,40,29,11,40,29,TRUE,TRUE,TRUE
CK120,Applied Psychology,544,533,506,Points decrease,11,38,27,11,38,27,TRUE,TRUE,TRUE
CK121,Psychology and Computing - 3 or 4 years (Work Expe,499,466,393,Points decrease,33,106,73,33,106,73,TRUE,TRUE,TRUE
CK122,Government and Political Science,399,337,355,Points decrease,62,44,-18,62,44,-18,TRUE,TRUE,TRUE
CK123,Anthropology,308,308,,Points decrease,0,,,0,308,308,TRUE,FALSE,FALSE
CK124,Education - Gaeilge,473,463,,Points decrease,10,,,10,473,463,TRUE,FALSE,FALSE
CK125,Sports Studies and Physical Education,564,510,,Points decrease,54,,,54,564,510,TRUE,FALSE,FALSE
CK201,Commerce,500,477,465,Points decrease,23,35,12,23,35,12,TRUE,TRUE,TRUE
CK202,Accounting,553,509,467,Points decrease,44,86,42,44,86,42,TRUE,TRUE,TRUE
CK203,Business Information Systems,455,430,409,Points decrease,25,46,21,25,46,21,TRUE,TRUE,TRUE
CK204,Finance,566,556,531,Points decrease,10,35,25,10,35,25,TRUE,TRUE,TRUE
CK205,Commerce (International) with French,465,445,409,Points decrease,20,56,36,20,56,36,TRUE,TRUE,TRUE
CK206,Commerce (International) with German,466,420,408,Points decrease,46,58,12,46,58,12,TRUE,TRUE,TRUE
CK207,Commerce (International) with Italian,423,388,408,Points decrease,35,15,-20,35,15,-20,TRUE,TRUE,TRUE
CK208,Commerce (International) with Hispanic Studies,488,402,431,Points decrease,86,57,-29,86,57,-29,TRUE,TRUE,TRUE
CK209,Commerce (International) with Irish,507,484,509,Points decrease,23,-2,-25,23,-2,-25,TRUE,TRUE,TRUE
CK211,Commerce (International) with Chinese Studies,385,397,398,Points decrease,-12,-13,-1,-12,-13,-1,TRUE,TRUE,TRUE
CK212,Economics (through Transformational Learning) 3 or,445,444,400,Points decrease,1,45,44,1,45,44,TRUE,TRUE,TRUE
CK213,Food Marketing and Entrepreneurship,466,462,,Points decrease,4,,,4,466,462,TRUE,FALSE,FALSE
CK214,International Development,332,346,,Points decrease,-14,,,-14,332,346,TRUE,FALSE,FALSE
CK301,Law (Pathways) -  3 or 4 years,533,507,476,Points decrease,26,57,31,26,57,31,TRUE,TRUE,TRUE
CK302,Law and French,545,542,453,Points decrease,3,92,89,3,92,89,TRUE,TRUE,TRUE
CK304,Law and Irish,588,540,462,Points decrease,48,126,78,48,126,78,TRUE,TRUE,TRUE
CK307,Law and Business,589,556,522,Points decrease,33,67,34,33,67,34,TRUE,TRUE,TRUE
CK401,Computer Science,503,468,402,Points decrease,35,101,66,35,101,66,TRUE,TRUE,TRUE
CK402,Biological and Chemical Sciences,555,510,498,Points decrease,45,57,12,45,57,12,TRUE,TRUE,TRUE
CK404,Biological  Earth and Environmental Sciences,500,467,412,Points decrease,33,88,55,33,88,55,TRUE,TRUE,TRUE
CK405,Genetics,543,487,476,Points decrease,56,67,11,56,67,11,TRUE,TRUE,TRUE
CK406,Chemical Sciences,532,485,457,Points decrease,47,75,28,47,75,28,TRUE,TRUE,TRUE
CK407,Mathematical Sciences,566,566,531,Points decrease,0,35,35,0,35,35,TRUE,TRUE,TRUE
CK408,Physics and Astrophysics,566,554,511,Points decrease,12,55,43,12,55,43,TRUE,TRUE,TRUE
CK409,Industrial Physics - Offered jointly by UCC and CI,465,432,413,Points decrease,33,52,19,33,52,19,TRUE,TRUE,TRUE
CK411,Data Science and Analytics,531,510,509,Points decrease,21,22,1,21,22,1,TRUE,TRUE,TRUE
CK412,Agricultural Science,506,496,457,Points decrease,10,49,39,10,49,39,TRUE,TRUE,TRUE
CK504,Nutritional Sciences,555,518,492,Points decrease,37,63,26,37,63,26,TRUE,TRUE,TRUE
CK505,Food Science,463,441,444,Points decrease,22,19,-3,22,19,-3,TRUE,TRUE,TRUE
CK600,Engineering,510,487,465,Points decrease,23,45,22,23,45,22,TRUE,TRUE,TRUE
CK606,Architecture - Offered jointly by UCC and CIT,543,484,465,Points decrease,59,78,19,59,78,19,TRUE,TRUE,TRUE
CK701,Medicine (Undergraduate Entry - HPAT required),738,731,729,Points decrease,7,9,2,7,9,2,TRUE,TRUE,TRUE
CK702,Dentistry,625,613,590,Points decrease,12,35,23,12,35,23,TRUE,TRUE,TRUE
CK703,Pharmacy,613,590,577,Points decrease,23,36,13,23,36,13,TRUE,TRUE,TRUE
CK704,Occupational Therapy,601,566,532,Points decrease,35,69,34,35,69,34,TRUE,TRUE,TRUE
CK705,Speech and Language Therapy,568,520,509,Points decrease,48,59,11,48,59,11,TRUE,TRUE,TRUE
CK706,Public Health Sciences,500,454,419,Points decrease,46,81,35,46,81,35,TRUE,TRUE,TRUE
CK707,Medical and Health Sciences,578,542,510,Points decrease,36,68,32,36,68,32,TRUE,TRUE,TRUE
CK710,General Nursing,498,454,440,Points decrease,44,58,14,44,58,14,TRUE,TRUE,TRUE
CK712,Children`s and General Nursing (Integrated),565,533,499,Points decrease,32,66,34,32,66,34,TRUE,TRUE,TRUE
CK720,Mental Health Nursing,455,423,398,Points decrease,32,57,25,32,57,25,TRUE,TRUE,TRUE
CK730,Intellectual Disability Nursing,431,419,359,Points decrease,12,72,60,12,72,60,TRUE,TRUE,TRUE
CK740,Midwifery,509,484,444,Points decrease,25,65,40,25,65,40,TRUE,TRUE,TRUE
CK791,Medicine  - Graduate Entry (GAMSAT required),60,57,58,Points decrease,3,2,-1,3,2,-1,TRUE,TRUE,TRUE
AC120,International Business,294,209,234,Points decrease,85,60,-25,85,60,-25,TRUE,TRUE,TRUE
AC137,Liberal Arts,271,252,252,Points decrease,19,19,0,19,19,0,TRUE,TRUE,TRUE
CT125,Computing and IT,242,220,235,Points decrease,22,7,-15,22,7,-15,TRUE,TRUE,TRUE
CT325,Business,253,338,,Points decrease,-85,,,-85,253,338,TRUE,FALSE,FALSE
CM001,Education - Primary Teaching,508,484,452,Points decrease,24,56,32,24,56,32,TRUE,TRUE,TRUE
CM002,Education - Primary Teaching - Gaeltacht Applicant,462,,421,Points decrease,,41,,462,41,-421,FALSE,TRUE,FALSE
CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,513,528,491,Points decrease,-15,22,37,-15,22,37,TRUE,TRUE,TRUE
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,480,494,492,Points decrease,-14,-12,2,-14,-12,2,TRUE,TRUE,TRUE
CM010,Education Studies,382,319,317,Points decrease,63,65,2,63,65,2,TRUE,TRUE,TRUE
CM020,Early Childhood Education,317,327,336,Points decrease,-10,-19,-9,-10,-19,-9,TRUE,TRUE,TRUE
DB500,Computing,234,218,242,Points decrease,16,-8,-24,16,-8,-24,TRUE,TRUE,TRUE
DB501,Computing (Cloud Computing),,227,326,Points decrease,,,-99,-227,-326,-99,FALSE,FALSE,TRUE
DB502,Computing (Data Analytics and Big Data),267,341,269,Points decrease,-74,-2,72,-74,-2,72,TRUE,TRUE,TRUE
DB503,Computing (Software Development),,225,242,Points decrease,,,-17,-225,-242,-17,FALSE,FALSE,TRUE
DB504,Computing (Web and Mobile Technology),,,227,Points decrease,,,,0,-227,-227,TRUE,FALSE,FALSE
DB510,Audio Production and Music Project Management,217,234,233,Points decrease,-17,-16,1,-17,-16,1,TRUE,TRUE,TRUE
DB512,Business Studies,243,218,229,Points decrease,25,14,-11,25,14,-11,TRUE,TRUE,TRUE
DB514,Business Studies (Law),239,252,269,Points decrease,-13,-30,-17,-13,-30,-17,TRUE,TRUE,TRUE
DB515,Business Studies (Human Resource Management),242,244,225,Points decrease,-2,17,19,-2,17,19,TRUE,TRUE,TRUE
DB517,Marketing (Event Management),233,238,226,Points decrease,-5,7,12,-5,7,12,TRUE,TRUE,TRUE
DB518,Marketing (Digital Media),307,,210,Points decrease,,97,,307,97,-210,FALSE,TRUE,FALSE
DB521,Accounting and Finance,243,225,225,Points decrease,18,18,0,18,18,0,TRUE,TRUE,TRUE
DB524,Business (Information Systems),247,342,402,Points decrease,-95,-155,-60,-95,-155,-60,TRUE,TRUE,TRUE
DB525,Marketing (Digital Media and Cloud Computing),288,,284,Points decrease,,4,,288,4,-284,FALSE,TRUE,FALSE
DB526,Business (Cloud Computing),244,347,253,Points decrease,-103,-9,94,-103,-9,94,TRUE,TRUE,TRUE
DB527,Applied Social Care,254,234,235,Points decrease,20,19,-1,20,19,-1,TRUE,TRUE,TRUE
DB531,Marketing,288,293,220,Points decrease,-5,68,73,-5,68,73,TRUE,TRUE,TRUE
DB562,Psychology,244,243,208,Points decrease,1,36,35,1,36,35,TRUE,TRUE,TRUE
DB566,Social Science,262,220,216,Points decrease,42,46,4,42,46,4,TRUE,TRUE,TRUE
DB567,Film and Creative Media,245,218,192,Points decrease,27,53,26,27,53,26,TRUE,TRUE,TRUE
DB568,Law,254,219,245,Points decrease,35,9,-26,35,9,-26,TRUE,TRUE,TRUE
DB569,Business (Psychology),240,252,279,Points decrease,-12,-39,-27,-12,-39,-27,TRUE,TRUE,TRUE
DC001,Education - Early Childhood Education,445,440,398,Points decrease,5,47,42,5,47,42,TRUE,TRUE,TRUE
DC002,Education - Primary Teaching,518,488,462,Points decrease,30,56,26,30,56,26,TRUE,TRUE,TRUE
DC003,Education - Primary Teaching - Gaeltacht Applicant,489,445,433,Points decrease,44,56,12,44,56,12,TRUE,TRUE,TRUE
DC004,Education - Primary Teaching (Church of Ireland Ce,451,411,357,Points decrease,40,94,54,40,94,54,TRUE,TRUE,TRUE
DC009,Arts (Joint Honours) - Humanities,356,376,347,Points decrease,-20,9,29,-20,9,29,TRUE,TRUE,TRUE
DC010,Post Primary Teacher Education - Religious Educati,384,441,386,Points decrease,-57,-2,55,-57,-2,55,TRUE,TRUE,TRUE
DC011,Post Primary Teacher Education - Religious Educati,409,412,352,Points decrease,-3,57,60,-3,57,60,TRUE,TRUE,TRUE
DC012,Post Primary Teacher Education - Religious Educati,409,378,367,Points decrease,31,42,11,31,42,11,TRUE,TRUE,TRUE
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413,419,410,Points decrease,-6,3,9,-6,3,9,TRUE,TRUE,TRUE
DC014,BA in Jazz and Contemporary Music Performance (aud,311,419,428,Points decrease,-108,-117,-9,-108,-117,-9,TRUE,TRUE,TRUE
DC110,Business Studies International,498,465,440,Points decrease,33,58,25,33,58,25,TRUE,TRUE,TRUE
DC111,Business Studies,511,488,463,Points decrease,23,48,25,23,48,25,TRUE,TRUE,TRUE
DC112,Global Business (France),542,517,495,Points decrease,25,47,22,25,47,22,TRUE,TRUE,TRUE
DC113,Global Business (Germany),484,462,440,Points decrease,22,44,22,22,44,22,TRUE,TRUE,TRUE
DC114,Global Business (Spain),544,522,501,Points decrease,22,43,21,22,43,21,TRUE,TRUE,TRUE
DC115,Accounting and Finance,544,510,487,Points decrease,34,57,23,34,57,23,TRUE,TRUE,TRUE
DC116,Global Business (USA),613,579,578,Points decrease,34,35,1,34,35,1,TRUE,TRUE,TRUE
DC117,Aviation Management / Aviation Management with Pil,484,476,463,Points decrease,8,21,13,8,21,13,TRUE,TRUE,TRUE
DC118,Gná agus Gaeilge / Business and Irish,368,359,357,Points decrease,9,11,2,9,11,2,TRUE,TRUE,TRUE
DC119,Global Business (Canada),601,564,566,Points decrease,37,35,-2,37,35,-2,TRUE,TRUE,TRUE
DC120,Computing for Business,403,357,350,Points decrease,46,53,7,46,53,7,TRUE,TRUE,TRUE
DC121,Computer Science,475,400,370,Points decrease,75,105,30,75,105,30,TRUE,TRUE,TRUE
DC123,Data Science,501,465,467,Points decrease,36,34,-2,36,34,-2,TRUE,TRUE,TRUE
DC126,Actuarial Mathematics,577,560,520,Points decrease,17,57,40,17,57,40,TRUE,TRUE,TRUE
DC127,Common Entry into Actuarial and Financial Mathemat,541,532,509,Points decrease,9,32,23,9,32,23,TRUE,TRUE,TRUE
DC131,Communication Studies,421,407,400,Points decrease,14,21,7,14,21,7,TRUE,TRUE,TRUE
DC132,Journalism,452,429,401,Points decrease,23,51,28,23,51,28,TRUE,TRUE,TRUE
DC133,Multimedia,435,411,403,Points decrease,24,32,8,24,32,8,TRUE,TRUE,TRUE
DC155,Applied Language and Translation Studies,427,387,371,Points decrease,40,56,16,40,56,16,TRUE,TRUE,TRUE
DC161,Analytical Science,498,498,446,Points decrease,0,52,52,0,52,52,TRUE,TRUE,TRUE
DC162,Chemical and Pharmaceutical Sciences,531,521,488,Points decrease,10,43,33,10,43,33,TRUE,TRUE,TRUE
DC163,Chemical Sciences General Entry (Undenominated Ent,466,,,Points decrease,,,,466,466,0,FALSE,FALSE,TRUE
DC166,Environmental Science and Technology,423,433,412,Points decrease,-10,11,21,-10,11,21,TRUE,TRUE,TRUE
DC168,Genetics and Cell Biology,543,512,489,Points decrease,31,54,23,31,54,23,TRUE,TRUE,TRUE
DC175,Physics General Entry (options),400,419,,Points decrease,-19,,,-19,400,419,TRUE,FALSE,FALSE
DC180,Biological Sciences General Entry (Undenominated E,530,,,Points decrease,,,,530,530,0,FALSE,FALSE,TRUE
