code,title,points_r1_2021,points_r1_2020,points_r1_2019,Change 21 vs 20,21 vs 20,21 vs 19,20 vs 19,,,,,,
DC181,Biotechnology,530,499,476,Points decrease,31,54,23,31,54,23,TRUE,TRUE,TRUE
DC190,Electronic and Computer Engineering (with choice o,488,413,391,Points decrease,75,97,22,75,97,22,TRUE,TRUE,TRUE
DC193,Mechatronic Engineering,490,411,404,Points decrease,79,86,7,79,86,7,TRUE,TRUE,TRUE
DC194,Sustainable Systems and Energy,476,,,Points decrease,,,,476,476,0,FALSE,FALSE,TRUE
DC195,Mechanical and Manufacturing Engineering,500,425,401,Points decrease,75,99,24,75,99,24,TRUE,TRUE,TRUE
DC197,Biomedical Engineering,510,423,402,Points decrease,87,108,21,87,108,21,TRUE,TRUE,TRUE
DC200,Common Entry into Engineering (Undenominated Entry,511,422,381,Points decrease,89,130,41,89,130,41,TRUE,TRUE,TRUE
DC202,Sport Science and Health,511,500,467,Points decrease,11,44,33,11,44,33,TRUE,TRUE,TRUE
DC203,Science Education,462,435,424,Points decrease,27,38,11,27,38,11,TRUE,TRUE,TRUE
DC204,Athletic Therapy and Training,558,522,484,Points decrease,36,74,38,36,74,38,TRUE,TRUE,TRUE
DC205,Physical Education with Biology,565,531,490,Points decrease,34,75,41,34,75,41,TRUE,TRUE,TRUE
DC206,Physical Education with Mathematics,521,499,443,Points decrease,22,78,56,22,78,56,TRUE,TRUE,TRUE
DC207,Psychology and Mathematics,521,,,Points decrease,,,,521,521,0,FALSE,FALSE,TRUE
DC208,Psychology,565,532,509,Points decrease,33,56,23,33,56,23,TRUE,TRUE,TRUE
DC209,Health and Society,477,465,419,Points decrease,12,58,46,12,58,46,TRUE,TRUE,TRUE
DC210,Psychology and Disruptive Technologies,506,,,Points decrease,,,,506,506,0,FALSE,FALSE,TRUE
DC215,General Nursing,456,454,414,Points decrease,2,42,40,2,42,40,TRUE,TRUE,TRUE
DC216,Mental Health Nursing,420,418,368,Points decrease,2,52,50,2,52,50,TRUE,TRUE,TRUE
DC217,Intellectual Disability Nursing,382,370,347,Points decrease,12,35,23,12,35,23,TRUE,TRUE,TRUE
DC218,Children`s and General Nursing (Integrated),521,500,467,Points decrease,21,54,33,21,54,33,TRUE,TRUE,TRUE
DC230,Economics  Politics and Law,431,435,400,Points decrease,-4,31,35,-4,31,35,TRUE,TRUE,TRUE
DC231,International Relations,398,397,387,Points decrease,1,11,10,1,11,10,TRUE,TRUE,TRUE
DC232,Law and Society (BCL),469,466,453,Points decrease,3,16,13,3,16,13,TRUE,TRUE,TRUE
DC235,Education and Training - Daytime and Flexible Deli,302,309,307,Points decrease,-7,-5,2,-7,-5,2,TRUE,TRUE,TRUE
DC238,Social Sciences and Cultural Innovation,387,377,358,Points decrease,10,29,19,10,29,19,TRUE,TRUE,TRUE
DC240,Marketing  Innovation and Technology,499,476,451,Points decrease,23,48,25,23,48,25,TRUE,TRUE,TRUE
DC241,Digital Business and Innovation,509,,,Points decrease,,,,509,509,0,FALSE,FALSE,TRUE
DC291,Arts (Joint Honours) - Media Studies,350,376,349,Points decrease,-26,1,27,-26,1,27,TRUE,TRUE,TRUE
DC292,Arts (Joint Honours) - Law,400,403,356,Points decrease,-3,44,47,-3,44,47,TRUE,TRUE,TRUE
DC293,Arts (Joint Honours) - International Languages,379,377,369,Points decrease,2,10,8,2,10,8,TRUE,TRUE,TRUE
DC294,Climate and Environmental Sustainability,475,,,Points decrease,,,,475,475,0,FALSE,FALSE,TRUE
DC295,Arts (Joint Honours) - Politics,349,376,348,Points decrease,-27,1,28,-27,1,28,TRUE,TRUE,TRUE
DL822,Arts Management,254,229,209,Points decrease,25,45,20,25,45,20,TRUE,TRUE,TRUE
DL823,Business Management,220,235,260,Points decrease,-15,-40,-25,-15,-40,-25,TRUE,TRUE,TRUE
DL825,Applied Psychology,418,379,349,Points decrease,39,69,30,39,69,30,TRUE,TRUE,TRUE
DL826,Graphic Design,591,855,736,Points decrease,-264,-145,119,-264,-145,119,TRUE,TRUE,TRUE
DL827,Art,574,572,583,Points decrease,2,-9,-11,2,-9,-11,TRUE,TRUE,TRUE
DL832,Animation,989,920,855,Points decrease,69,134,65,69,134,65,TRUE,TRUE,TRUE
DL833,Photography and Visual Media,671,650,636,Points decrease,21,35,14,21,35,14,TRUE,TRUE,TRUE
DL836,Creative Computing,235,219,217,Points decrease,16,18,2,16,18,2,TRUE,TRUE,TRUE
DL837,New Media Studies,298,201,290,Points decrease,97,8,-89,97,8,-89,TRUE,TRUE,TRUE
DL838,Creative Music Production,713,754,746,Points decrease,-41,-33,8,-41,-33,8,TRUE,TRUE,TRUE
DL839,Interaction and User Experience Design,757,683,,Points decrease,74,,,74,757,683,TRUE,FALSE,FALSE
DL840,Digital Marketing,210,228,,Points decrease,-18,,,-18,210,228,TRUE,FALSE,FALSE
DL841,English and Equality Studies,277,276,,Points decrease,1,,,1,277,276,TRUE,FALSE,FALSE
DL843,Film,987,,,Points decrease,,,,987,987,0,FALSE,FALSE,TRUE
DL844,Television,566,,,Points decrease,,,,566,566,0,FALSE,FALSE,TRUE
DL845,Design for Film (degree options),628,,,Points decrease,,,,628,628,0,FALSE,FALSE,TRUE
GC200,Business,269,252,269,Points decrease,17,0,-17,17,0,-17,TRUE,TRUE,TRUE
GC201,Accounting and Finance,260,303,251,Points decrease,-43,9,52,-43,9,52,TRUE,TRUE,TRUE
GC230,Computing Science,300,335,228,Points decrease,-35,72,107,-35,72,107,TRUE,TRUE,TRUE
GC300,Business,264,429,251,Points decrease,-165,13,178,-165,13,178,TRUE,TRUE,TRUE
GC301,Accounting and Finance,,253,307,Points decrease,,,-54,-253,-307,-54,FALSE,FALSE,TRUE
GC302,Business - HRM,377,,269,Points decrease,,108,,377,108,-269,FALSE,TRUE,FALSE
GC307,Business (Marketing),289,,,Points decrease,,,,289,289,0,FALSE,FALSE,TRUE
GC400,Business,250,248,246,Points decrease,2,4,2,2,4,2,TRUE,TRUE,TRUE
GC401,Accounting and Finance,242,240,181,Points decrease,2,61,59,2,61,59,TRUE,TRUE,TRUE
GC402,Business (HRM),,264,217,Points decrease,,,47,-264,-217,47,FALSE,FALSE,TRUE
GC403,Law,245,244,225,Points decrease,1,20,19,1,20,19,TRUE,TRUE,TRUE
GC407,Business (Marketing),264,280,246,Points decrease,-16,18,34,-16,18,34,TRUE,TRUE,TRUE
GC430,Computing Science,251,252,217,Points decrease,-1,34,35,-1,34,35,TRUE,TRUE,TRUE
GC450,Communications and Media Production,225,254,227,Points decrease,-29,-2,27,-29,-2,27,TRUE,TRUE,TRUE
GC462,Design Communication (portfolio),300,,,Points decrease,,,,300,300,0,FALSE,FALSE,TRUE
GC489,Interior Architecture (portfolio),288,254,267,Points decrease,34,21,-13,34,21,-13,TRUE,TRUE,TRUE
GC494,Fashion Design (portfolio),351,337,,Points decrease,14,,,14,351,337,TRUE,FALSE,FALSE
BY001,Business,210,,,Points decrease,,,,210,210,0,FALSE,FALSE,TRUE
ID001,Accounting and Finance,,203,229,Points decrease,,,-26,-203,-229,-26,FALSE,FALSE,TRUE
ID002,Business Studies,,294,285,Points decrease,,,9,-294,-285,9,FALSE,FALSE,TRUE
AD101,First Year Art and Design (Common Entry portfolio),554,,0,Points decrease,,554,,554,554,0,FALSE,TRUE,TRUE
AD102,Graphic Design and Moving Image Design (portfolio),538,,0,Points decrease,,538,,538,538,0,FALSE,TRUE,TRUE
AD103,Textile and Surface Design and Jewellery and Objec,505,,0,Points decrease,,505,,505,505,0,FALSE,TRUE,TRUE
AD202,Education and Design or Fine Art (Second Level Tea,591,,0,Points decrease,,591,,591,591,0,FALSE,TRUE,TRUE
AD204,Fine Art (portfolio),514,,0,Points decrease,,514,,514,514,0,FALSE,TRUE,TRUE
AD211,Fashion Design (portfolio),760,,0,Points decrease,,760,,760,760,0,FALSE,TRUE,TRUE
AD212,Product Design (portfolio),413,,0,Points decrease,,413,,413,413,0,FALSE,TRUE,TRUE
AD215,Visual Culture,337,377,300,Points decrease,-40,37,77,-40,37,77,TRUE,TRUE,TRUE
AD217,Illustration (portfolio),738,,0,Points decrease,,738,,738,738,0,FALSE,TRUE,TRUE
AD222,Interaction Design (portfolio),444,,0,Points decrease,,444,,444,444,0,FALSE,TRUE,TRUE
NC003,Computing (Degree Award options),271,260,261,Points decrease,11,10,-1,11,10,-1,TRUE,TRUE,TRUE
NC005,Human Resource Management,301,300,297,Points decrease,1,4,3,1,4,3,TRUE,TRUE,TRUE
NC009,Business,300,300,297,Points decrease,0,3,3,0,3,3,TRUE,TRUE,TRUE
NC010,Psychology,420,400,366,Points decrease,20,54,34,20,54,34,TRUE,TRUE,TRUE
NC020,Marketing Practice,270,280,270,Points decrease,-10,0,10,-10,0,10,TRUE,TRUE,TRUE
NC022,Accounting and Finance,330,337,338,Points decrease,-7,-8,-1,-7,-8,-1,TRUE,TRUE,TRUE
NC023,Technology Management (with specialisations),266,261,260,Points decrease,5,6,1,5,6,1,TRUE,TRUE,TRUE
NC030,Early Childhood Education and Care,251,,,Points decrease,,,,251,251,0,FALSE,FALSE,TRUE
RC001,Medicine - Undergraduate Entry (HPAT required),741,733,729,Points decrease,8,12,4,8,12,4,TRUE,TRUE,TRUE
RC004,Physiotherapy,589,566,532,Points decrease,23,57,34,23,57,34,TRUE,TRUE,TRUE
RC005,Pharmacy,613,579,555,Points decrease,34,58,24,34,58,24,TRUE,TRUE,TRUE
RC101,Medicine - Graduate Entry (GAMSAT required),,,60,Points decrease,,,,0,-60,-60,TRUE,FALSE,FALSE
NM801,Montessori Education,262,220,,Points decrease,42,,,42,262,220,TRUE,FALSE,FALSE
NM802,Psychology,228,,,Points decrease,,,,228,228,0,FALSE,FALSE,TRUE
TU801,Sustainable Energy Engineering,235,235,,Points decrease,0,,,0,235,235,TRUE,FALSE,FALSE
TU802,Electrical Services and Energy Management,309,317,,Points decrease,-8,,,-8,309,317,TRUE,FALSE,FALSE
TU804,Engineering (Common Entry with Award options),270,271,,Points decrease,-1,,,-1,270,271,TRUE,FALSE,FALSE
TU805,Engineering (General Entry),466,402,,Points decrease,64,,,64,466,402,TRUE,FALSE,FALSE
TU807,Computer Engineering in Mobile Systems,274,276,,Points decrease,-2,,,-2,274,276,TRUE,FALSE,FALSE
TU810,Mechatronic Engineering,271,270,,Points decrease,1,,,1,271,270,TRUE,FALSE,FALSE
TU811,Product Design,440,411,,Points decrease,29,,,29,440,411,TRUE,FALSE,FALSE
TU812,Design Technology and Innovation,278,270,,Points decrease,8,,,8,278,270,TRUE,FALSE,FALSE
TU814,Sustainable Transport Management,253,285,,Points decrease,-32,,,-32,253,285,TRUE,FALSE,FALSE
TU828,Mechanical Engineering (General Entry),300,,,Points decrease,,,,300,300,0,FALSE,FALSE,TRUE
TU829,Electronic Engineering (General Entry),248,,,Points decrease,,,,248,248,0,FALSE,FALSE,TRUE
TU831,Architectural Technology,423,410,,Points decrease,13,,,13,423,410,TRUE,FALSE,FALSE
TU832,Architecture (Suitability Test and Interview),644,622,,Points decrease,22,,,22,644,622,TRUE,FALSE,FALSE
TU833,Construction Management,396,367,,Points decrease,29,,,29,396,367,TRUE,FALSE,FALSE
TU834,Geographic Science,315,288,,Points decrease,27,,,27,315,288,TRUE,FALSE,FALSE
TU835,Planning and Environmental Management,330,313,,Points decrease,17,,,17,330,313,TRUE,FALSE,FALSE
TU836,Property Economics (Valuation Surveying),411,401,,Points decrease,10,,,10,411,401,TRUE,FALSE,FALSE
TU837,Quantity Surveying and Construction Economics,413,385,,Points decrease,28,,,28,413,385,TRUE,FALSE,FALSE
TU838,Sustainable Timber Technology,307,,,Points decrease,,,,307,307,0,FALSE,FALSE,TRUE
TU851,Analytical Chemistry (Environmental  Forensic and,400,349,,Points decrease,51,,,51,400,349,TRUE,FALSE,FALSE
TU852,Chemical Sciences with Medicinal Chemistry,477,476,,Points decrease,1,,,1,477,476,TRUE,FALSE,FALSE
TU854,Science (General Entry),510,476,,Points decrease,34,,,34,510,476,TRUE,FALSE,FALSE
TU855,Science with Nanotechnology,322,331,,Points decrease,-9,,,-9,322,331,TRUE,FALSE,FALSE
TU856,Computer Science,499,476,,Points decrease,23,,,23,499,476,TRUE,FALSE,FALSE
TU857,Computer Science (Infrastructure),403,391,,Points decrease,12,,,12,403,391,TRUE,FALSE,FALSE
TU858,Computer Science (International),395,377,,Points decrease,18,,,18,395,377,TRUE,FALSE,FALSE
TU859,Computing,251,217,,Points decrease,34,,,34,251,217,TRUE,FALSE,FALSE
TU860,Computing (Information Technology),270,260,,Points decrease,10,,,10,270,260,TRUE,FALSE,FALSE
TU861,Computing with Language (French/German/Spanish),235,308,,Points decrease,-73,,,-73,235,308,TRUE,FALSE,FALSE
TU862,Computing with Artificial Intelligence Machine Lea,262,226,,Points decrease,36,,,36,262,226,TRUE,FALSE,FALSE
TU863,Digital Forensics and Cyber Security,282,280,,Points decrease,2,,,2,282,280,TRUE,FALSE,FALSE
TU864,DNA and Forensic Analysis,500,400,,Points decrease,100,,,100,500,400,TRUE,FALSE,FALSE
TU865,Cloud Computing,235,226,,Points decrease,9,,,9,235,226,TRUE,FALSE,FALSE
TU866,Biomedical and Molecular Diagnostics,522,487,,Points decrease,35,,,35,522,487,TRUE,FALSE,FALSE
TU867,Biomedical Science,576,524,,Points decrease,52,,,52,576,524,TRUE,FALSE,FALSE
TU868,Clinical Measurement Science,542,510,,Points decrease,32,,,32,542,510,TRUE,FALSE,FALSE
TU869,Environmental Health,387,336,,Points decrease,51,,,51,387,336,TRUE,FALSE,FALSE
TU870,Human Nutrition and Dietetics,601,578,,Points decrease,23,,,23,601,578,TRUE,FALSE,FALSE
TU871,Optometry,532,509,,Points decrease,23,,,23,532,509,TRUE,FALSE,FALSE
TU872,Public Health Nutrition,487,491,,Points decrease,-4,,,-4,487,491,TRUE,FALSE,FALSE
TU874,Mathematical Sciences,294,341,,Points decrease,-47,,,-47,294,341,TRUE,FALSE,FALSE
TU875,Pharmaceutical Healthcare,451,400,,Points decrease,51,,,51,451,400,TRUE,FALSE,FALSE
TU876,Pharmaceutical Science,445,377,,Points decrease,68,,,68,445,377,TRUE,FALSE,FALSE
TU877,Physics Technology,314,308,,Points decrease,6,,,6,314,308,TRUE,FALSE,FALSE
TU878,Physics with Energy and Environment,339,337,,Points decrease,2,,,2,339,337,TRUE,FALSE,FALSE
TU879,Physics with Medical Physics and Bioengineering,346,351,,Points decrease,-5,,,-5,346,351,TRUE,FALSE,FALSE
TU880,Physics with Data Science,412,578,,Points decrease,-166,,,-166,412,578,TRUE,FALSE,FALSE
TU881,Food Innovation,309,318,,Points decrease,-9,,,-9,309,318,TRUE,FALSE,FALSE
TU882,Nutraceuticals in Health and Nutrition,380,397,,Points decrease,-17,,,-17,380,397,TRUE,FALSE,FALSE
TU902,Business (options),270,271,,Points decrease,-1,,,-1,270,271,TRUE,FALSE,FALSE
TU903,Business and Management,477,463,,Points decrease,14,,,14,477,463,TRUE,FALSE,FALSE
TU904,Business and Law,462,462,,Points decrease,0,,,0,462,462,TRUE,FALSE,FALSE
TU905,Economics and Finance,460,465,,Points decrease,-5,,,-5,460,465,TRUE,FALSE,FALSE
TU906,Human Resource Management,386,395,,Points decrease,-9,,,-9,386,395,TRUE,FALSE,FALSE
TU907,Logistics and Supply Chain Management,300,300,,Points decrease,0,,,0,300,300,TRUE,FALSE,FALSE
TU910,Accounting,420,444,,Points decrease,-24,,,-24,420,444,TRUE,FALSE,FALSE
TU912,Business Analytics,331,330,,Points decrease,1,,,1,331,330,TRUE,FALSE,FALSE
TU914,Business Computing,322,324,,Points decrease,-2,,,-2,322,324,TRUE,FALSE,FALSE
TU917,Law (LLB ) with a Language,356,342,,Points decrease,14,,,14,356,342,TRUE,FALSE,FALSE
TU918,Law (LLB),463,451,,Points decrease,12,,,12,463,451,TRUE,FALSE,FALSE
TU919,Advertising and Marketing Communications,219,228,,Points decrease,-9,,,-9,219,228,TRUE,FALSE,FALSE
TU920,Digital Marketing,270,270,,Points decrease,0,,,0,270,270,TRUE,FALSE,FALSE
TU921,Digital Marketing Technologies,230,212,,Points decrease,18,,,18,230,212,TRUE,FALSE,FALSE
TU922,Marketing,412,418,,Points decrease,-6,,,-6,412,418,TRUE,FALSE,FALSE
TU924,E-Commerce in Retailing,307,307,,Points decrease,0,,,0,307,307,TRUE,FALSE,FALSE
TU925,Retail and Services Management,307,301,,Points decrease,6,,,6,307,301,TRUE,FALSE,FALSE
TU932,Business (options),211,,,Points decrease,,,,211,211,0,FALSE,FALSE,TRUE
TU933,Accounting and Finance (campus options),251,,,Points decrease,,,,251,251,0,FALSE,FALSE,TRUE
TU935,Sports Management and Coaching,300,300,,Points decrease,0,,,0,300,300,TRUE,FALSE,FALSE
TU936,Sports Science and Health,484,410,,Points decrease,74,,,74,484,410,TRUE,FALSE,FALSE
TU941,Botanical Cuisine,311,249,,Points decrease,62,,,62,311,249,TRUE,FALSE,FALSE
TU942,Culinary Arts,252,212,,Points decrease,40,,,40,252,212,TRUE,FALSE,FALSE
TU943,Culinary Entrepreneurship,261,278,,Points decrease,-17,,,-17,261,278,TRUE,FALSE,FALSE
TU944,Culinary Science,336,316,,Points decrease,20,,,20,336,316,TRUE,FALSE,FALSE
TU951,International Hospitality and Tourism Management,244,184,,Points decrease,60,,,60,244,184,TRUE,FALSE,FALSE
TU952,International Hospitality Management,309,300,,Points decrease,9,,,9,309,300,TRUE,FALSE,FALSE
TU953,Tourism and Digital Marketing,308,290,,Points decrease,18,,,18,308,290,TRUE,FALSE,FALSE
TU954,Event Management,326,356,,Points decrease,-30,,,-30,326,356,TRUE,FALSE,FALSE
TU955,Sports and Leisure Management,275,217,,Points decrease,58,,,58,275,217,TRUE,FALSE,FALSE
TU961,Commercial Modern Music (BIMM - assessment/auditio,536,608,,Points decrease,-72,,,-72,536,608,TRUE,FALSE,FALSE
TU962,Drama (Performance  audition),448,379,,Points decrease,69,,,69,448,379,TRUE,FALSE,FALSE
TU963,Music (audition),364,416,,Points decrease,-52,,,-52,364,416,TRUE,FALSE,FALSE
TU965,International Business and Languages,357,356,,Points decrease,1,,,1,357,356,TRUE,FALSE,FALSE
TU967,Languages and International Tourism,298,308,,Points decrease,-10,,,-10,298,308,TRUE,FALSE,FALSE
TU973,Design - Visual Communication (portfolio),700,717,,Points decrease,-17,,,-17,700,717,TRUE,FALSE,FALSE
TU974,Fine Art (portfolio),549,709,,Points decrease,-160,,,-160,549,709,TRUE,FALSE,FALSE
TU975,Interior Design (portfolio),544,632,,Points decrease,-88,,,-88,544,632,TRUE,FALSE,FALSE
TU976,Photography (portfolio),700,695,,Points decrease,5,,,5,700,695,TRUE,FALSE,FALSE
TU978,Creative Industries and Visual Culture,299,,,Points decrease,,,,299,299,0,FALSE,FALSE,TRUE
TU981,Creative Digital Media,280,280,,Points decrease,0,,,0,280,280,TRUE,FALSE,FALSE
TU982,Media Production and Digital Arts,369,320,,Points decrease,49,,,49,369,320,TRUE,FALSE,FALSE
TU983,Film and Broadcasting,462,456,,Points decrease,6,,,6,462,456,TRUE,FALSE,FALSE
TU984,Game Design,414,381,,Points decrease,33,,,33,414,381,TRUE,FALSE,FALSE
TU985,Journalism,367,322,,Points decrease,45,,,45,367,322,TRUE,FALSE,FALSE
TU989,Early Childhood Care and Education (campus options,270,,,Points decrease,,,,270,270,0,FALSE,FALSE,TRUE
TU991,Applied Social Studies in Social Care,326,325,,Points decrease,1,,,1,326,325,TRUE,FALSE,FALSE
TU992,Community Development and Youth Work,251,251,,Points decrease,0,,,0,251,251,TRUE,FALSE,FALSE
TU995,Early Childhood Education,378,367,,Points decrease,11,,,11,378,367,TRUE,FALSE,FALSE
TU996,Social Care,407,400,,Points decrease,7,,,7,407,400,TRUE,FALSE,FALSE
TU997,Applied Social Care,320,310,,Points decrease,10,,,10,320,310,TRUE,FALSE,FALSE
TR002,Music,508,435,414,Points decrease,73,94,21,73,94,21,TRUE,TRUE,TRUE
TR003,History,552,497,486,Points decrease,55,66,11,55,66,11,TRUE,TRUE,TRUE
TR004,Law,590,566,532,Points decrease,24,58,34,24,58,34,TRUE,TRUE,TRUE
TR005,Philosophy,510,442,391,Points decrease,68,119,51,68,119,51,TRUE,TRUE,TRUE
TR006,Psychology,601,567,555,Points decrease,34,46,12,34,46,12,TRUE,TRUE,TRUE
TR007,Clinical Speech and Language Studies,564,529,499,Points decrease,35,65,30,35,65,30,TRUE,TRUE,TRUE
TR009,Music Education,496,420,430,Points decrease,76,66,-10,76,66,-10,TRUE,TRUE,TRUE
TR015,Philosophy  Political Science  Economics and Socio,613,589,566,Points decrease,24,47,23,24,47,23,TRUE,TRUE,TRUE
TR016,Deaf Studies,389,340,337,Points decrease,49,52,3,49,52,3,TRUE,TRUE,TRUE
TR018,Law and French,602,565,532,Points decrease,37,70,33,37,70,33,TRUE,TRUE,TRUE
TR019,Law and German,577,543,523,Points decrease,34,54,20,34,54,20,TRUE,TRUE,TRUE
TR021,Classics  Ancient History and Archaeology,467,370,377,Points decrease,97,90,-7,97,90,-7,TRUE,TRUE,TRUE
TR022,Early and Modern Irish,377,398,347,Points decrease,-21,30,51,-21,30,51,TRUE,TRUE,TRUE
TR023,English Studies,546,487,463,Points decrease,59,83,24,59,83,24,TRUE,TRUE,TRUE
TR024,European Studies,566,544,520,Points decrease,22,46,24,22,46,24,TRUE,TRUE,TRUE
TR025,Drama and Theatre Studies,543,564,489,Points decrease,-21,54,75,-21,54,75,TRUE,TRUE,TRUE
TR028,Ancient and Medieval History and Culture,498,342,339,Points decrease,156,159,3,156,159,3,TRUE,TRUE,TRUE
TR031,Mathematics,579,531,566,Points decrease,48,13,-35,48,13,-35,TRUE,TRUE,TRUE
TR032,Engineering,556,510,487,Points decrease,46,69,23,46,69,23,TRUE,TRUE,TRUE
TR033,Computer Science,566,509,465,Points decrease,57,101,44,57,101,44,TRUE,TRUE,TRUE
TR034,Management Science and Information Systems Studies,625,613,589,Points decrease,12,36,24,12,36,24,TRUE,TRUE,TRUE
TR035,Theoretical Physics,590,543,554,Points decrease,47,36,-11,47,36,-11,TRUE,TRUE,TRUE
TR038,Engineering with Management,589,532,499,Points decrease,57,90,33,57,90,33,TRUE,TRUE,TRUE
TR039,Computer Science  Linguistics and a Language,443,454,435,Points decrease,-11,8,19,-11,8,19,TRUE,TRUE,TRUE
TR040,Middle Eastern and European Languages and Cultures,520,466,485,Points decrease,54,35,-19,54,35,-19,TRUE,TRUE,TRUE
TR041,Religion,417,368,347,Points decrease,49,70,21,49,70,21,TRUE,TRUE,TRUE
TR042,Film,531,489,,Points decrease,42,,,42,531,489,TRUE,FALSE,FALSE
TR043,History of Art and Architecture,498,393,,Points decrease,105,,,105,498,393,TRUE,FALSE,FALSE
TR051,Medicine (HPAT required),743,735,730,Points decrease,8,13,5,8,13,5,TRUE,TRUE,TRUE
TR052,Dental Science,625,613,590,Points decrease,12,35,23,12,35,23,TRUE,TRUE,TRUE
TR053,Physiotherapy,590,566,533,Points decrease,24,57,33,24,57,33,TRUE,TRUE,TRUE
TR054,Occupational Therapy,578,533,500,Points decrease,45,78,33,45,78,33,TRUE,TRUE,TRUE
TR055,Radiation Therapy,577,543,510,Points decrease,34,67,33,34,67,33,TRUE,TRUE,TRUE
TR056,Human Health and Disease,601,565,543,Points decrease,36,58,22,36,58,22,TRUE,TRUE,TRUE
TR060,Biological and Biomedical Sciences,578,543,510,Points decrease,35,68,33,35,68,33,TRUE,TRUE,TRUE
TR061,Chemical Sciences,558,517,488,Points decrease,41,70,29,41,70,29,TRUE,TRUE,TRUE
TR062,Geography and Geoscience,495,473,435,Points decrease,22,60,38,22,60,38,TRUE,TRUE,TRUE
TR063,Physical Sciences,554,498,498,Points decrease,56,56,0,56,56,0,TRUE,TRUE,TRUE
TR064,Environmental Science and Engineering,555,,,Points decrease,,,,555,555,0,FALSE,FALSE,TRUE
TR072,Pharmacy,613,590,555,Points decrease,23,58,35,23,58,35,TRUE,TRUE,TRUE
TR080,Global Business,613,589,565,Points decrease,24,48,24,24,48,24,TRUE,TRUE,TRUE
TR081,Business  Economic and Social Studies (BESS),577,543,518,Points decrease,34,59,25,34,59,25,TRUE,TRUE,TRUE
TR084,Social Studies (Social Work),497,462,420,Points decrease,35,77,42,35,77,42,TRUE,TRUE,TRUE
TR085,Business Studies and French,564,540,509,Points decrease,24,55,31,24,55,31,TRUE,TRUE,TRUE
TR086,Business Studies and German,530,509,474,Points decrease,21,56,35,21,56,35,TRUE,TRUE,TRUE
TR087,Business Studies and Russian,487,474,467,Points decrease,13,20,7,13,20,7,TRUE,TRUE,TRUE
TR089,Business Studies and Polish,391,444,393,Points decrease,-53,-2,51,-53,-2,51,TRUE,TRUE,TRUE
TR090,Business Studies and Spanish,566,531,510,Points decrease,35,56,21,35,56,21,TRUE,TRUE,TRUE
TR091,General Nursing (Meath and St James`s),462,429,393,Points decrease,33,69,36,33,69,36,TRUE,TRUE,TRUE
TR093,General Nursing (Adelaide School of Nursing),473,430,378,Points decrease,43,95,52,43,95,52,TRUE,TRUE,TRUE
TR095,Mental Health Nursing,442,408,358,Points decrease,34,84,50,34,84,50,TRUE,TRUE,TRUE
TR097,Intellectual Disability Nursing,412,396,346,Points decrease,16,66,50,16,66,50,TRUE,TRUE,TRUE
TR911,Children`s and General Nursing (Integrated),531,511,476,Points decrease,20,55,35,20,55,35,TRUE,TRUE,TRUE
TR913,Midwifery,521,478,423,Points decrease,43,98,55,43,98,55,TRUE,TRUE,TRUE
DN100,Architecture,555,510,473,Points decrease,45,82,37,45,82,37,TRUE,TRUE,TRUE
DN120,Landscape Architecture,463,407,353,Points decrease,56,110,54,56,110,54,TRUE,TRUE,TRUE
DN130,City Planning and Environmental Policy,445,407,367,Points decrease,38,78,40,38,78,40,TRUE,TRUE,TRUE
DN150,Engineering (Common Entry),565,531,511,Points decrease,34,54,20,34,54,20,TRUE,TRUE,TRUE
DN200,Science (options),577,533,521,Points decrease,44,56,12,44,56,12,TRUE,TRUE,TRUE
DN201,Computer Science (Common Entry),554,510,488,Points decrease,44,66,22,44,66,22,TRUE,TRUE,TRUE
DN230,Actuarial and Financial Studies,613,601,577,Points decrease,12,36,24,12,36,24,TRUE,TRUE,TRUE
DN240,Sustainability,510,440,,Points decrease,70,,,70,510,440,TRUE,FALSE,FALSE
DN250,Agricultural Science (options),454,456,420,Points decrease,-2,34,36,-2,34,36,TRUE,TRUE,TRUE
DN261,Food Science,531,477,434,Points decrease,54,97,43,54,97,43,TRUE,TRUE,TRUE
DN262,Human Nutrition,566,531,493,Points decrease,35,73,38,35,73,38,TRUE,TRUE,TRUE
DN300,Veterinary Medicine - Undergraduate Entry,601,589,567,Points decrease,12,34,22,12,34,22,TRUE,TRUE,TRUE
DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,,,Points decrease,,,,0,0,0,TRUE,TRUE,TRUE
DN310,Veterinary Nursing,521,478,441,Points decrease,43,80,37,43,80,37,TRUE,TRUE,TRUE
DN400,Medicine - Undergraduate Entry (HPAT required),743,737,735,Points decrease,6,8,2,6,8,2,TRUE,TRUE,TRUE
DN401,Medicine - Graduate Entry (GAMSAT required),61,,59,Points decrease,,2,,61,2,-59,FALSE,TRUE,FALSE
DN410,Radiography,566,534,507,Points decrease,32,59,27,32,59,27,TRUE,TRUE,TRUE
DN411,Radiography - Graduate Entry,,,,Points decrease,,,,0,0,0,TRUE,TRUE,TRUE
DN420,Physiotherapy,601,578,542,Points decrease,23,59,36,23,59,36,TRUE,TRUE,TRUE
DN425,Health and Performance Science,544,510,488,Points decrease,34,56,22,34,56,22,TRUE,TRUE,TRUE
DN430,Sport and Exercise Management,484,455,436,Points decrease,29,48,19,29,48,19,TRUE,TRUE,TRUE
