code,title,points_r1_2021,points_r1_2020,points_r1_2019,21vs20,21vs19,20vs19,rating21vs20,rating20vs19,rating21vs19
CK120,Applied Psychology,544.0,533.0,506.0,11.0,38.0,27.0,Increase,Increase,Increase
CK121,Psychology and Computing - 3 or 4 years (Work Expe,499.0,466.0,393.0,33.0,106.0,73.0,Increase,Increase,Increase
CK122,Government and Political Science,399.0,337.0,355.0,62.0,44.0,-18.0,Increase,Decrease,Increase
CK123,Anthropology,308.0,308.0,,0.0,,,No change,Course for 1 year only,Course for 1 year only
CK124,Education - Gaeilge,473.0,463.0,,10.0,,,Increase,Course for 1 year only,Course for 1 year only
CK125,Sports Studies and Physical Education,564.0,510.0,,54.0,,,Increase,Course for 1 year only,Course for 1 year only
CK201,Commerce,500.0,477.0,465.0,23.0,35.0,12.0,Increase,Increase,Increase
CK202,Accounting,553.0,509.0,467.0,44.0,86.0,42.0,Increase,Increase,Increase
CK203,Business Information Systems,455.0,430.0,409.0,25.0,46.0,21.0,Increase,Increase,Increase
CK204,Finance,566.0,556.0,531.0,10.0,35.0,25.0,Increase,Increase,Increase
CK205,Commerce (International) with French,465.0,445.0,409.0,20.0,56.0,36.0,Increase,Increase,Increase
CK206,Commerce (International) with German,466.0,420.0,408.0,46.0,58.0,12.0,Increase,Increase,Increase
CK207,Commerce (International) with Italian,423.0,388.0,408.0,35.0,15.0,-20.0,Increase,Decrease,Increase
CK208,Commerce (International) with Hispanic Studies,488.0,402.0,431.0,86.0,57.0,-29.0,Increase,Decrease,Increase
CK209,Commerce (International) with Irish,507.0,484.0,509.0,23.0,-2.0,-25.0,Increase,Decrease,Decrease
CK211,Commerce (International) with Chinese Studies,385.0,397.0,398.0,-12.0,-13.0,-1.0,Decrease,Decrease,Decrease
CK212,Economics (through Transformational Learning) 3 or,445.0,444.0,400.0,1.0,45.0,44.0,Increase,Increase,Increase
CK213,Food Marketing and Entrepreneurship,466.0,462.0,,4.0,,,Increase,Course for 1 year only,Course for 1 year only
CK214,International Development,332.0,346.0,,-14.0,,,Decrease,Course for 1 year only,Course for 1 year only
CK301,Law (Pathways) -  3 or 4 years,533.0,507.0,476.0,26.0,57.0,31.0,Increase,Increase,Increase
CK302,Law and French,545.0,542.0,453.0,3.0,92.0,89.0,Increase,Increase,Increase
CK304,Law and Irish,588.0,540.0,462.0,48.0,126.0,78.0,Increase,Increase,Increase
CK307,Law and Business,589.0,556.0,522.0,33.0,67.0,34.0,Increase,Increase,Increase
CK401,Computer Science,503.0,468.0,402.0,35.0,101.0,66.0,Increase,Increase,Increase
CK402,Biological and Chemical Sciences,555.0,510.0,498.0,45.0,57.0,12.0,Increase,Increase,Increase
CK404,Biological  Earth and Environmental Sciences,500.0,467.0,412.0,33.0,88.0,55.0,Increase,Increase,Increase
CK405,Genetics,543.0,487.0,476.0,56.0,67.0,11.0,Increase,Increase,Increase
CK406,Chemical Sciences,532.0,485.0,457.0,47.0,75.0,28.0,Increase,Increase,Increase
CK407,Mathematical Sciences,566.0,566.0,531.0,0.0,35.0,35.0,No change,Increase,Increase
CK408,Physics and Astrophysics,566.0,554.0,511.0,12.0,55.0,43.0,Increase,Increase,Increase
CK409,Industrial Physics - Offered jointly by UCC and CI,465.0,432.0,413.0,33.0,52.0,19.0,Increase,Increase,Increase
CK411,Data Science and Analytics,531.0,510.0,509.0,21.0,22.0,1.0,Increase,Increase,Increase
CK412,Agricultural Science,506.0,496.0,457.0,10.0,49.0,39.0,Increase,Increase,Increase
CK504,Nutritional Sciences,555.0,518.0,492.0,37.0,63.0,26.0,Increase,Increase,Increase
CK505,Food Science,463.0,441.0,444.0,22.0,19.0,-3.0,Increase,Decrease,Increase
CK600,Engineering,510.0,487.0,465.0,23.0,45.0,22.0,Increase,Increase,Increase
CK606,Architecture - Offered jointly by UCC and CIT,543.0,484.0,465.0,59.0,78.0,19.0,Increase,Increase,Increase
CK701,Medicine (Undergraduate Entry - HPAT required),738.0,731.0,729.0,7.0,9.0,2.0,Increase,Increase,Increase
CK702,Dentistry,625.0,613.0,590.0,12.0,35.0,23.0,Increase,Increase,Increase
CK703,Pharmacy,613.0,590.0,577.0,23.0,36.0,13.0,Increase,Increase,Increase
CK704,Occupational Therapy,601.0,566.0,532.0,35.0,69.0,34.0,Increase,Increase,Increase
CK705,Speech and Language Therapy,568.0,520.0,509.0,48.0,59.0,11.0,Increase,Increase,Increase
CK706,Public Health Sciences,500.0,454.0,419.0,46.0,81.0,35.0,Increase,Increase,Increase
CK707,Medical and Health Sciences,578.0,542.0,510.0,36.0,68.0,32.0,Increase,Increase,Increase
CK710,General Nursing,498.0,454.0,440.0,44.0,58.0,14.0,Increase,Increase,Increase
CK712,Children`s and General Nursing (Integrated),565.0,533.0,499.0,32.0,66.0,34.0,Increase,Increase,Increase
CK720,Mental Health Nursing,455.0,423.0,398.0,32.0,57.0,25.0,Increase,Increase,Increase
CK730,Intellectual Disability Nursing,431.0,419.0,359.0,12.0,72.0,60.0,Increase,Increase,Increase
CK740,Midwifery,509.0,484.0,444.0,25.0,65.0,40.0,Increase,Increase,Increase
CK791,Medicine  - Graduate Entry (GAMSAT required),60.0,57.0,58.0,3.0,2.0,-1.0,Increase,Decrease,Increase
AC120,International Business,294.0,209.0,234.0,85.0,60.0,-25.0,Increase,Decrease,Increase
AC137,Liberal Arts,271.0,252.0,252.0,19.0,19.0,0.0,Increase,No change,Increase
CT125,Computing and IT,242.0,220.0,235.0,22.0,7.0,-15.0,Increase,Decrease,Increase
CT325,Business,253.0,338.0,,-85.0,,,Decrease,Course for 1 year only,Course for 1 year only
CM001,Education - Primary Teaching,508.0,484.0,452.0,24.0,56.0,32.0,Increase,Increase,Increase
CM002,Education - Primary Teaching - Gaeltacht Applicant,462.0,,421.0,,41.0,,Course for 1 year only,Course for 1 year only,Increase
CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,513.0,528.0,491.0,-15.0,22.0,37.0,Decrease,Increase,Increase
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,480.0,494.0,492.0,-14.0,-12.0,2.0,Decrease,Increase,Decrease
CM010,Education Studies,382.0,319.0,317.0,63.0,65.0,2.0,Increase,Increase,Increase
CM020,Early Childhood Education,317.0,327.0,336.0,-10.0,-19.0,-9.0,Decrease,Decrease,Decrease
DB500,Computing,234.0,218.0,242.0,16.0,-8.0,-24.0,Increase,Decrease,Decrease
DB501,Computing (Cloud Computing),,227.0,326.0,,,-99.0,Course for 1 year only,Decrease,Course for 1 year only
DB502,Computing (Data Analytics and Big Data),267.0,341.0,269.0,-74.0,-2.0,72.0,Decrease,Increase,Decrease
DB503,Computing (Software Development),,225.0,242.0,,,-17.0,Course for 1 year only,Decrease,Course for 1 year only
DB504,Computing (Web and Mobile Technology),,,227.0,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DB510,Audio Production and Music Project Management,217.0,234.0,233.0,-17.0,-16.0,1.0,Decrease,Increase,Decrease
DB512,Business Studies,243.0,218.0,229.0,25.0,14.0,-11.0,Increase,Decrease,Increase
DB514,Business Studies (Law),239.0,252.0,269.0,-13.0,-30.0,-17.0,Decrease,Decrease,Decrease
DB515,Business Studies (Human Resource Management),242.0,244.0,225.0,-2.0,17.0,19.0,Decrease,Increase,Increase
DB517,Marketing (Event Management),233.0,238.0,226.0,-5.0,7.0,12.0,Decrease,Increase,Increase
DB518,Marketing (Digital Media),307.0,,210.0,,97.0,,Course for 1 year only,Course for 1 year only,Increase
DB521,Accounting and Finance,243.0,225.0,225.0,18.0,18.0,0.0,Increase,No change,Increase
DB524,Business (Information Systems),247.0,342.0,402.0,-95.0,-155.0,-60.0,Decrease,Decrease,Decrease
DB525,Marketing (Digital Media and Cloud Computing),288.0,,284.0,,4.0,,Course for 1 year only,Course for 1 year only,Increase
DB526,Business (Cloud Computing),244.0,347.0,253.0,-103.0,-9.0,94.0,Decrease,Increase,Decrease
DB527,Applied Social Care,254.0,234.0,235.0,20.0,19.0,-1.0,Increase,Decrease,Increase
DB531,Marketing,288.0,293.0,220.0,-5.0,68.0,73.0,Decrease,Increase,Increase
DB562,Psychology,244.0,243.0,208.0,1.0,36.0,35.0,Increase,Increase,Increase
DB566,Social Science,262.0,220.0,216.0,42.0,46.0,4.0,Increase,Increase,Increase
DB567,Film and Creative Media,245.0,218.0,192.0,27.0,53.0,26.0,Increase,Increase,Increase
DB568,Law,254.0,219.0,245.0,35.0,9.0,-26.0,Increase,Decrease,Increase
DB569,Business (Psychology),240.0,252.0,279.0,-12.0,-39.0,-27.0,Decrease,Decrease,Decrease
DC001,Education - Early Childhood Education,445.0,440.0,398.0,5.0,47.0,42.0,Increase,Increase,Increase
DC002,Education - Primary Teaching,518.0,488.0,462.0,30.0,56.0,26.0,Increase,Increase,Increase
DC003,Education - Primary Teaching - Gaeltacht Applicant,489.0,445.0,433.0,44.0,56.0,12.0,Increase,Increase,Increase
DC004,Education - Primary Teaching (Church of Ireland Ce,451.0,411.0,357.0,40.0,94.0,54.0,Increase,Increase,Increase
DC009,Arts (Joint Honours) - Humanities,356.0,376.0,347.0,-20.0,9.0,29.0,Decrease,Increase,Increase
DC010,Post Primary Teacher Education - Religious Educati,384.0,441.0,386.0,-57.0,-2.0,55.0,Decrease,Increase,Decrease
DC011,Post Primary Teacher Education - Religious Educati,409.0,412.0,352.0,-3.0,57.0,60.0,Decrease,Increase,Increase
DC012,Post Primary Teacher Education - Religious Educati,409.0,378.0,367.0,31.0,42.0,11.0,Increase,Increase,Increase
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413.0,419.0,410.0,-6.0,3.0,9.0,Decrease,Increase,Increase
DC014,BA in Jazz and Contemporary Music Performance (aud,311.0,419.0,428.0,-108.0,-117.0,-9.0,Decrease,Decrease,Decrease
DC110,Business Studies International,498.0,465.0,440.0,33.0,58.0,25.0,Increase,Increase,Increase
DC111,Business Studies,511.0,488.0,463.0,23.0,48.0,25.0,Increase,Increase,Increase
DC112,Global Business (France),542.0,517.0,495.0,25.0,47.0,22.0,Increase,Increase,Increase
DC113,Global Business (Germany),484.0,462.0,440.0,22.0,44.0,22.0,Increase,Increase,Increase
DC114,Global Business (Spain),544.0,522.0,501.0,22.0,43.0,21.0,Increase,Increase,Increase
DC115,Accounting and Finance,544.0,510.0,487.0,34.0,57.0,23.0,Increase,Increase,Increase
DC116,Global Business (USA),613.0,579.0,578.0,34.0,35.0,1.0,Increase,Increase,Increase
DC117,Aviation Management / Aviation Management with Pil,484.0,476.0,463.0,8.0,21.0,13.0,Increase,Increase,Increase
DC118,Gná agus Gaeilge / Business and Irish,368.0,359.0,357.0,9.0,11.0,2.0,Increase,Increase,Increase
DC119,Global Business (Canada),601.0,564.0,566.0,37.0,35.0,-2.0,Increase,Decrease,Increase
DC120,Computing for Business,403.0,357.0,350.0,46.0,53.0,7.0,Increase,Increase,Increase
DC121,Computer Science,475.0,400.0,370.0,75.0,105.0,30.0,Increase,Increase,Increase
DC123,Data Science,501.0,465.0,467.0,36.0,34.0,-2.0,Increase,Decrease,Increase
DC126,Actuarial Mathematics,577.0,560.0,520.0,17.0,57.0,40.0,Increase,Increase,Increase
DC127,Common Entry into Actuarial and Financial Mathemat,541.0,532.0,509.0,9.0,32.0,23.0,Increase,Increase,Increase
DC131,Communication Studies,421.0,407.0,400.0,14.0,21.0,7.0,Increase,Increase,Increase
DC132,Journalism,452.0,429.0,401.0,23.0,51.0,28.0,Increase,Increase,Increase
DC133,Multimedia,435.0,411.0,403.0,24.0,32.0,8.0,Increase,Increase,Increase
DC155,Applied Language and Translation Studies,427.0,387.0,371.0,40.0,56.0,16.0,Increase,Increase,Increase
DC161,Analytical Science,498.0,498.0,446.0,0.0,52.0,52.0,No change,Increase,Increase
DC162,Chemical and Pharmaceutical Sciences,531.0,521.0,488.0,10.0,43.0,33.0,Increase,Increase,Increase
DC163,Chemical Sciences General Entry (Undenominated Ent,466.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DC166,Environmental Science and Technology,423.0,433.0,412.0,-10.0,11.0,21.0,Decrease,Increase,Increase
DC168,Genetics and Cell Biology,543.0,512.0,489.0,31.0,54.0,23.0,Increase,Increase,Increase
DC175,Physics General Entry (options),400.0,419.0,,-19.0,,,Decrease,Course for 1 year only,Course for 1 year only
DC180,Biological Sciences General Entry (Undenominated E,530.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DC181,Biotechnology,530.0,499.0,476.0,31.0,54.0,23.0,Increase,Increase,Increase
DC190,Electronic and Computer Engineering (with choice o,488.0,413.0,391.0,75.0,97.0,22.0,Increase,Increase,Increase
DC193,Mechatronic Engineering,490.0,411.0,404.0,79.0,86.0,7.0,Increase,Increase,Increase
DC194,Sustainable Systems and Energy,476.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DC195,Mechanical and Manufacturing Engineering,500.0,425.0,401.0,75.0,99.0,24.0,Increase,Increase,Increase
DC197,Biomedical Engineering,510.0,423.0,402.0,87.0,108.0,21.0,Increase,Increase,Increase
DC200,Common Entry into Engineering (Undenominated Entry,511.0,422.0,381.0,89.0,130.0,41.0,Increase,Increase,Increase
DC202,Sport Science and Health,511.0,500.0,467.0,11.0,44.0,33.0,Increase,Increase,Increase
DC203,Science Education,462.0,435.0,424.0,27.0,38.0,11.0,Increase,Increase,Increase
DC204,Athletic Therapy and Training,558.0,522.0,484.0,36.0,74.0,38.0,Increase,Increase,Increase
DC205,Physical Education with Biology,565.0,531.0,490.0,34.0,75.0,41.0,Increase,Increase,Increase
DC206,Physical Education with Mathematics,521.0,499.0,443.0,22.0,78.0,56.0,Increase,Increase,Increase
DC207,Psychology and Mathematics,521.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DC208,Psychology,565.0,532.0,509.0,33.0,56.0,23.0,Increase,Increase,Increase
DC209,Health and Society,477.0,465.0,419.0,12.0,58.0,46.0,Increase,Increase,Increase
DC210,Psychology and Disruptive Technologies,506.0,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DC215,General Nursing,456.0,454.0,414.0,2.0,42.0,40.0,Increase,Increase,Increase
DC216,Mental Health Nursing,420.0,418.0,368.0,2.0,52.0,50.0,Increase,Increase,Increase
