,code,title,pointsR1,pointsR2
114,CK105,FilmandScreenMedia-3yearsor4years(Intern,421.0,420.0
115,CK107,GeographicalandrchaeologicalSciences-3or4,312.0,
116,CK108,rtsInternational-4years,440.0,440.0
117,CK109,English-3yearsor4years(InternationalPathwa,367.0,357.0
118,CK110,WorldLanguages,488.0,
119,CK111,EarlyYearsandChildhoodStudies,409.0,403.0
120,CK112,TheatreandPerformativePractices-3or4years,371.0,
121,CK113,Criminology-3yearsor4years(InternationalPa,464.0,463.0
122,CK114,SocialScience(YouthandCommunityWork),,
123,CK115,SocialWork-Maturepplicantsonly,,
124,CK118,DigitalHumanitiesandIT-3or4years(WorkExp,347.0,339.0
125,CK120,ppliedPsychology,544.0,543.0
126,CK121,PsychologyandComputing-3or4years(WorkExpe,499.0,488.0
127,CK122,GovernmentandPoliticalScience,399.0,
128,CK123,nthropology,308.0,
129,CK124,Education-Gaeilge,473.0,
130,CK125,SportsStudiesandPhysicalEducation,564.0,555.0
131,CK201,Commerce,500.0,499.0
132,CK202,ccounting,553.0,543.0
133,CK203,BusinessInformationSystems,455.0,452.0
134,CK204,Finance,566.0,566.0
135,CK205,Commerce(International)withFrench,465.0,
136,CK206,Commerce(International)withGerman,466.0,455.0
137,CK207,Commerce(International)withItalian,423.0,418.0
138,CK208,Commerce(International)withHispanicStudies,488.0,486.0
139,CK209,Commerce(International)withIrish,507.0,
140,CK211,Commerce(International)withChineseStudies,385.0,
141,CK212,Economics(throughTransformationalLearning)3or,445.0,444.0
142,CK213,FoodMarketingandEntrepreneurship,466.0,
143,CK214,InternationalDevelopment,332.0,
144,CK301,Law(Pathways)-3or4years,533.0,532.0
145,CK302,LawandFrench,545.0,
146,CK304,LawandIrish,588.0,
147,CK307,LawandBusiness,589.0,589.0
148,CK401,ComputerScience,503.0,495.0
149,CK402,BiologicalandChemicalSciences,555.0,555.0
150,CK404,BiologicalEarthandEnvironmentalSciences,500.0,495.0
151,CK405,Genetics,543.0,
152,CK406,ChemicalSciences,532.0,
153,CK407,MathematicalSciences,566.0,
154,CK408,Physicsandstrophysics,566.0,
155,CK409,IndustrialPhysics-OfferedjointlybyUCCandCI,465.0,
156,CK411,DataScienceandnalytics,531.0,
157,CK412,griculturalScience,506.0,
158,CK504,NutritionalSciences,555.0,554.0
159,CK505,FoodScience,463.0,
160,CK600,Engineering,510.0,509.0
161,CK606,rchitecture-OfferedjointlybyUCCandCIT,543.0,
162,CK701,Medicine(UndergraduateEntry-HPTrequired),738.0,737.0
163,CK702,Dentistry,625.0,625.0
164,CK703,Pharmacy,613.0,613.0
165,CK704,OccupationalTherapy,601.0,
166,CK705,SpeechandLanguageTherapy,568.0,566.0
167,CK706,PublicHealthSciences,500.0,
168,CK707,MedicalandHealthSciences,578.0,
169,CK710,GeneralNursing,498.0,497.0
170,CK712,Children`sandGeneralNursing(Integrated),565.0,
171,CK720,MentalHealthNursing,455.0,452.0
172,CK730,IntellectualDisabilityNursing,431.0,
173,CK740,Midwifery,509.0,
174,CK791,Medicine-GraduateEntry(GMSTrequired),60.0,60.0
175,C120,InternationalBusiness,294.0,294.0
176,C137,Liberalrts,271.0,270.0
177,CT125,ComputingandIT,242.0,242.0
178,CT325,Business,253.0,253.0
179,CM001,Education-PrimaryTeaching,508.0,
180,CM002,Education-PrimaryTeaching-Gaeltachtpplicant,462.0,
181,CM003,Oideachas–BunmhúinteoireachtTríMheánnaGaeilg,513.0,
182,CM004,Oideachas-BunmhúinteoireachtTríMheánnaGaeilg,480.0,
183,CM010,EducationStudies,382.0,327.0
184,CM020,EarlyChildhoodEducation,317.0,
185,DB500,Computing,234.0,234.0
186,DB501,Computing(CloudComputing),,178.0
187,DB502,Computing(DatanalyticsandBigData),267.0,233.0
188,DB503,Computing(SoftwareDevelopment),,
189,DB504,Computing(WebandMobileTechnology),,
190,DB510,udioProductionandMusicProjectManagement,217.0,217.0
191,DB512,BusinessStudies,243.0,210.0
192,DB514,BusinessStudies(Law),239.0,225.0
193,DB515,BusinessStudies(HumanResourceManagement),242.0,217.0
194,DB517,Marketing(EventManagement),233.0,225.0
195,DB518,Marketing(DigitalMedia),307.0,209.0
196,DB521,ccountingandFinance,243.0,228.0
197,DB524,Business(InformationSystems),247.0,239.0
198,DB525,Marketing(DigitalMediaandCloudComputing),288.0,288.0
199,DB526,Business(CloudComputing),244.0,244.0
200,DB527,ppliedSocialCare,254.0,219.0
201,DB531,Marketing,288.0,176.0
202,DB562,Psychology,244.0,233.0
203,DB566,SocialScience,262.0,228.0
204,DB567,FilmandCreativeMedia,245.0,213.0
205,DB568,Law,254.0,228.0
206,DB569,Business(Psychology),240.0,240.0
207,DC001,Education-EarlyChildhoodEducation,445.0,
208,DC002,Education-PrimaryTeaching,518.0,
209,DC003,Education-PrimaryTeaching-Gaeltachtpplicant,489.0,
210,DC004,Education-PrimaryTeaching(ChurchofIrelandCe,451.0,
211,DC009,rts(JointHonours)-Humanities,356.0,
212,DC010,PostPrimaryTeacherEducation-ReligiousEducati,384.0,
213,DC011,PostPrimaryTeacherEducation-ReligiousEducati,409.0,
214,DC012,PostPrimaryTeacherEducation-ReligiousEducati,409.0,
215,DC013,PostPrimaryTeacherEd-GaeilgewithFrench/Germ,413.0,
216,DC014,BinJazzandContemporaryMusicPerformance(aud,311.0,
217,DC110,BusinessStudiesInternational,498.0,
218,DC111,BusinessStudies,511.0,
219,DC112,GlobalBusiness(France),542.0,
220,DC113,GlobalBusiness(Germany),484.0,
221,DC114,GlobalBusiness(Spain),544.0,
222,DC115,ccountingandFinance,544.0,
223,DC116,GlobalBusiness(US),613.0,
224,DC117,viationManagement/viationManagementwithPil,484.0,
225,DC118,GnáagusGaeilge/BusinessandIrish,368.0,
226,DC119,GlobalBusiness(Canada),601.0,
227,DC120,ComputingforBusiness,403.0,402.0
228,DC121,ComputerScience,475.0,
229,DC123,DataScience,501.0,
230,DC126,ctuarialMathematics,577.0,
231,DC127,CommonEntryintoctuarialandFinancialMathemat,541.0,
232,DC131,CommunicationStudies,421.0,
233,DC132,Journalism,452.0,
234,DC133,Multimedia,435.0,
235,DC155,ppliedLanguageandTranslationStudies,427.0,
236,DC161,nalyticalScience,498.0,
237,DC162,ChemicalandPharmaceuticalSciences,531.0,
238,DC163,ChemicalSciencesGeneralEntry(UndenominatedEnt,466.0,
239,DC166,EnvironmentalScienceandTechnology,423.0,
240,DC168,GeneticsandCellBiology,543.0,
241,DC175,PhysicsGeneralEntry(options),400.0,
242,DC180,BiologicalSciencesGeneralEntry(UndenominatedE,530.0,
243,DC181,Biotechnology,530.0,
244,DC190,ElectronicandComputerEngineering(withchoiceo,488.0,
245,DC193,MechatronicEngineering,490.0,
246,DC194,SustainableSystemsandEnergy,476.0,
247,DC195,MechanicalandManufacturingEngineering,500.0,
248,DC197,BiomedicalEngineering,510.0,
249,DC200,CommonEntryintoEngineering(UndenominatedEntry,511.0,510.0
250,DC202,SportScienceandHealth,511.0,
251,DC203,ScienceEducation,462.0,
252,DC204,thleticTherapyandTraining,558.0,
253,DC205,PhysicalEducationwithBiology,565.0,
254,DC206,PhysicalEducationwithMathematics,521.0,
255,DC207,PsychologyandMathematics,521.0,
256,DC208,Psychology,565.0,
257,DC209,HealthandSociety,477.0,
258,DC210,PsychologyandDisruptiveTechnologies,506.0,
259,DC215,GeneralNursing,456.0,
260,DC216,MentalHealthNursing,420.0,
261,DC217,IntellectualDisabilityNursing,382.0,
262,DC218,Children`sandGeneralNursing(Integrated),521.0,
263,DC230,EconomicsPoliticsandLaw,431.0,
264,DC231,InternationalRelations,398.0,
265,DC232,LawandSociety(BCL),469.0,
266,DC235,EducationandTraining-DaytimeandFlexibleDeli,302.0,
267,DC238,SocialSciencesandCulturalInnovation,387.0,
268,DC240,MarketingInnovationandTechnology,499.0,
