code,title,points_r1_2021,points_r1_2020,points_r1_2019,Change 21 vs 20,21vs20,21vs19,20vs19,rating21vs20,rating20vs19,rating21vs19
CW858,,700.0,700.0,700.0,,0.0,0.0,0.0,No change,No change,No change
CW908,,272.0,280.0,260.0,,-8.0,12.0,20.0,Decrease,Increase,Increase
CW938,,270.0,283.0,270.0,,-13.0,0.0,13.0,Decrease,Increase,No change
CW948,,319.0,300.0,301.0,,19.0,18.0,-1.0,Increase,Decrease,Increase
PC405,,263.0,253.0,251.0,,10.0,12.0,2.0,Increase,Increase,Increase
PC410,,262.0,252.0,203.0,,10.0,59.0,49.0,Increase,Increase,Increase
PC411,,243.0,255.0,168.0,,-12.0,75.0,87.0,Decrease,Increase,Increase
CR105,,443.0,443.0,432.0,,0.0,11.0,11.0,No change,Increase,Increase
CR106,,431.0,411.0,351.0,,20.0,80.0,60.0,Increase,Increase,Increase
CR108,,434.0,434.0,425.0,,0.0,9.0,9.0,No change,Increase,Increase
CR109,,396.0,394.0,341.0,,2.0,55.0,53.0,Increase,Increase,Increase
CR110,,336.0,311.0,318.0,,25.0,18.0,-7.0,Increase,Decrease,Increase
CR112,,390.0,361.0,335.0,,29.0,55.0,26.0,Increase,Increase,Increase
CR116,,365.0,332.0,318.0,,33.0,47.0,14.0,Increase,Increase,Increase
CR121,,904.0,868.0,633.0,,36.0,271.0,235.0,Increase,Increase,Increase
CR125,,1028.0,1088.0,972.0,,-60.0,56.0,116.0,Decrease,Increase,Increase
CR130,,525.0,548.0,500.0,,-23.0,25.0,48.0,Decrease,Increase,Increase
CR150,,350.0,335.0,326.0,,15.0,24.0,9.0,Increase,Increase,Increase
CR210,,450.0,,979.0,,,-529.0,,Course for 1 year only,Course for 1 year only,Decrease
CR220,,400.0,,620.0,,,-220.0,,Course for 1 year only,Course for 1 year only,Decrease
CR225,,435.0,,920.0,,,-485.0,,Course for 1 year only,Course for 1 year only,Decrease
CR305,,260.0,282.0,279.0,,-22.0,-19.0,3.0,Decrease,Increase,Decrease
CR310,,347.0,297.0,282.0,,50.0,65.0,15.0,Increase,Increase,Increase
CR320,,590.0,565.0,546.0,,25.0,44.0,19.0,Increase,Increase,Increase
CR325,,466.0,398.0,388.0,,68.0,78.0,10.0,Increase,Increase,Increase
CR333,,425.0,402.0,360.0,,23.0,65.0,42.0,Increase,Increase,Increase
CR335,,473.0,420.0,381.0,,53.0,92.0,39.0,Increase,Increase,Increase
CR340,,327.0,251.0,288.0,,76.0,39.0,-37.0,Increase,Decrease,Increase
CR360,,301.0,261.0,291.0,,40.0,10.0,-30.0,Increase,Decrease,Increase
CR365,,262.0,253.0,334.0,,9.0,-72.0,-81.0,Increase,Decrease,Decrease
CR370,,368.0,397.0,408.0,,-29.0,-40.0,-11.0,Decrease,Decrease,Decrease
CR400,,315.0,316.0,316.0,,-1.0,-1.0,0.0,Decrease,No change,Decrease
CR420,,290.0,285.0,288.0,,5.0,2.0,-3.0,Increase,Decrease,Increase
CR425,,279.0,298.0,300.0,,-19.0,-21.0,-2.0,Decrease,Decrease,Decrease
CR430,,402.0,322.0,,,80.0,,,Increase,Course for 1 year only,Course for 1 year only
CR435,,410.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
CR440,,409.0,288.0,,,121.0,,,Increase,Course for 1 year only,Course for 1 year only
CR500,,475.0,411.0,381.0,,64.0,94.0,30.0,Increase,Increase,Increase
CR510,,320.0,320.0,319.0,,0.0,1.0,1.0,No change,Increase,Increase
CR520,,444.0,444.0,434.0,,0.0,10.0,10.0,No change,Increase,Increase
CR560,,375.0,308.0,288.0,,67.0,87.0,20.0,Increase,Increase,Increase
CR565,,431.0,359.0,336.0,,72.0,95.0,23.0,Increase,Increase,Increase
CR570,,375.0,336.0,279.0,,39.0,96.0,57.0,Increase,Increase,Increase
CR572,,300.0,269.0,253.0,,31.0,47.0,16.0,Increase,Increase,Increase
CR580,,342.0,318.0,344.0,,24.0,-2.0,-26.0,Increase,Decrease,Decrease
CR590,,329.0,303.0,342.0,,26.0,-13.0,-39.0,Increase,Decrease,Decrease
CR600,,280.0,,587.0,,,-307.0,,Course for 1 year only,Course for 1 year only,Decrease
CR660,,246.0,252.0,249.0,,-6.0,-3.0,3.0,Decrease,Increase,Decrease
CR700,,609.0,740.0,768.0,,-131.0,-159.0,-28.0,Decrease,Decrease,Decrease
CR930,,518.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
CK101,3,300.0,300.0,300.0,,0.0,0.0,0.0,No change,No change,No change
CK102,,434.0,412.0,391.0,,22.0,43.0,21.0,Increase,Increase,Increase
CK104,34,339.0,302.0,340.0,,37.0,-1.0,-38.0,Increase,Decrease,Decrease
CK105,34,421.0,368.0,397.0,,53.0,24.0,-29.0,Increase,Decrease,Increase
CK107,34,312.0,328.0,326.0,,-16.0,-14.0,2.0,Decrease,Increase,Decrease
CK108,4,440.0,401.0,429.0,,39.0,11.0,-28.0,Increase,Decrease,Increase
CK109,34,367.0,318.0,347.0,,49.0,20.0,-29.0,Increase,Decrease,Increase
CK110,,488.0,452.0,456.0,,36.0,32.0,-4.0,Increase,Decrease,Increase
CK111,,409.0,419.0,398.0,,-10.0,11.0,21.0,Decrease,Increase,Increase
CK112,34,371.0,330.0,324.0,,41.0,47.0,6.0,Increase,Increase,Increase
CK113,34,464.0,423.0,408.0,,41.0,56.0,15.0,Increase,Increase,Increase
CK114,,,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
CK115,,,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
CK118,34,347.0,336.0,307.0,,11.0,40.0,29.0,Increase,Increase,Increase
CK120,,544.0,533.0,506.0,,11.0,38.0,27.0,Increase,Increase,Increase
CK121,34,499.0,466.0,393.0,,33.0,106.0,73.0,Increase,Increase,Increase
CK122,,399.0,337.0,355.0,,62.0,44.0,-18.0,Increase,Decrease,Increase
CK123,,308.0,308.0,,,0.0,,,No change,Course for 1 year only,Course for 1 year only
CK124,,473.0,463.0,,,10.0,,,Increase,Course for 1 year only,Course for 1 year only
CK125,,564.0,510.0,,,54.0,,,Increase,Course for 1 year only,Course for 1 year only
CK201,,500.0,477.0,465.0,,23.0,35.0,12.0,Increase,Increase,Increase
CK202,,553.0,509.0,467.0,,44.0,86.0,42.0,Increase,Increase,Increase
CK203,,455.0,430.0,409.0,,25.0,46.0,21.0,Increase,Increase,Increase
CK204,,566.0,556.0,531.0,,10.0,35.0,25.0,Increase,Increase,Increase
CK205,,465.0,445.0,409.0,,20.0,56.0,36.0,Increase,Increase,Increase
CK206,,466.0,420.0,408.0,,46.0,58.0,12.0,Increase,Increase,Increase
CK207,,423.0,388.0,408.0,,35.0,15.0,-20.0,Increase,Decrease,Increase
CK208,,488.0,402.0,431.0,,86.0,57.0,-29.0,Increase,Decrease,Increase
CK209,,507.0,484.0,509.0,,23.0,-2.0,-25.0,Increase,Decrease,Decrease
CK211,,385.0,397.0,398.0,,-12.0,-13.0,-1.0,Decrease,Decrease,Decrease
CK212,3,445.0,444.0,400.0,,1.0,45.0,44.0,Increase,Increase,Increase
CK213,,466.0,462.0,,,4.0,,,Increase,Course for 1 year only,Course for 1 year only
CK214,,332.0,346.0,,,-14.0,,,Decrease,Course for 1 year only,Course for 1 year only
CK301,34,533.0,507.0,476.0,,26.0,57.0,31.0,Increase,Increase,Increase
CK302,,545.0,542.0,453.0,,3.0,92.0,89.0,Increase,Increase,Increase
CK304,,588.0,540.0,462.0,,48.0,126.0,78.0,Increase,Increase,Increase
CK307,,589.0,556.0,522.0,,33.0,67.0,34.0,Increase,Increase,Increase
CK401,,503.0,468.0,402.0,,35.0,101.0,66.0,Increase,Increase,Increase
CK402,,555.0,510.0,498.0,,45.0,57.0,12.0,Increase,Increase,Increase
CK404,,500.0,467.0,412.0,,33.0,88.0,55.0,Increase,Increase,Increase
CK405,,543.0,487.0,476.0,,56.0,67.0,11.0,Increase,Increase,Increase
CK406,,532.0,485.0,457.0,,47.0,75.0,28.0,Increase,Increase,Increase
CK407,,566.0,566.0,531.0,,0.0,35.0,35.0,No change,Increase,Increase
CK408,,566.0,554.0,511.0,,12.0,55.0,43.0,Increase,Increase,Increase
CK409,,465.0,432.0,413.0,,33.0,52.0,19.0,Increase,Increase,Increase
CK411,,531.0,510.0,509.0,,21.0,22.0,1.0,Increase,Increase,Increase
CK412,,506.0,496.0,457.0,,10.0,49.0,39.0,Increase,Increase,Increase
CK504,,555.0,518.0,492.0,,37.0,63.0,26.0,Increase,Increase,Increase
CK505,,463.0,441.0,444.0,,22.0,19.0,-3.0,Increase,Decrease,Increase
CK600,,510.0,487.0,465.0,,23.0,45.0,22.0,Increase,Increase,Increase
CK606,,543.0,484.0,465.0,,59.0,78.0,19.0,Increase,Increase,Increase
CK701,,738.0,731.0,729.0,,7.0,9.0,2.0,Increase,Increase,Increase
CK702,,625.0,613.0,590.0,,12.0,35.0,23.0,Increase,Increase,Increase
CK703,,613.0,590.0,577.0,,23.0,36.0,13.0,Increase,Increase,Increase
CK704,,601.0,566.0,532.0,,35.0,69.0,34.0,Increase,Increase,Increase
CK705,,568.0,520.0,509.0,,48.0,59.0,11.0,Increase,Increase,Increase
CK706,,500.0,454.0,419.0,,46.0,81.0,35.0,Increase,Increase,Increase
CK707,,578.0,542.0,510.0,,36.0,68.0,32.0,Increase,Increase,Increase
CK710,,498.0,454.0,440.0,,44.0,58.0,14.0,Increase,Increase,Increase
CK712,,565.0,533.0,499.0,,32.0,66.0,34.0,Increase,Increase,Increase
CK720,,455.0,423.0,398.0,,32.0,57.0,25.0,Increase,Increase,Increase
CK730,,431.0,419.0,359.0,,12.0,72.0,60.0,Increase,Increase,Increase
CK740,,509.0,484.0,444.0,,25.0,65.0,40.0,Increase,Increase,Increase
CK791,,60.0,57.0,58.0,,3.0,2.0,-1.0,Increase,Decrease,Increase
AC120,,294.0,209.0,234.0,,85.0,60.0,-25.0,Increase,Decrease,Increase
AC137,,271.0,252.0,252.0,,19.0,19.0,0.0,Increase,No change,Increase
CT125,,242.0,220.0,235.0,,22.0,7.0,-15.0,Increase,Decrease,Increase
CT325,,253.0,338.0,,,-85.0,,,Decrease,Course for 1 year only,Course for 1 year only
CM001,,508.0,484.0,452.0,,24.0,56.0,32.0,Increase,Increase,Increase
CM002,,462.0,,421.0,,,41.0,,Course for 1 year only,Course for 1 year only,Increase
CM003,,513.0,528.0,491.0,,-15.0,22.0,37.0,Decrease,Increase,Increase
CM004,,480.0,494.0,492.0,,-14.0,-12.0,2.0,Decrease,Increase,Decrease
CM010,,382.0,319.0,317.0,,63.0,65.0,2.0,Increase,Increase,Increase
CM020,,317.0,327.0,336.0,,-10.0,-19.0,-9.0,Decrease,Decrease,Decrease
DB500,,234.0,218.0,242.0,,16.0,-8.0,-24.0,Increase,Decrease,Decrease
DB501,,,227.0,326.0,,,,-99.0,Course for 1 year only,Decrease,Course for 1 year only
DB502,,267.0,341.0,269.0,,-74.0,-2.0,72.0,Decrease,Increase,Decrease
DB503,,,225.0,242.0,,,,-17.0,Course for 1 year only,Decrease,Course for 1 year only
DB504,,,,227.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DB510,,217.0,234.0,233.0,,-17.0,-16.0,1.0,Decrease,Increase,Decrease
DB512,,243.0,218.0,229.0,,25.0,14.0,-11.0,Increase,Decrease,Increase
DB514,,239.0,252.0,269.0,,-13.0,-30.0,-17.0,Decrease,Decrease,Decrease
DB515,,242.0,244.0,225.0,,-2.0,17.0,19.0,Decrease,Increase,Increase
DB517,,233.0,238.0,226.0,,-5.0,7.0,12.0,Decrease,Increase,Increase
DB518,,307.0,,210.0,,,97.0,,Course for 1 year only,Course for 1 year only,Increase
DB521,,243.0,225.0,225.0,,18.0,18.0,0.0,Increase,No change,Increase
DB524,,247.0,342.0,402.0,,-95.0,-155.0,-60.0,Decrease,Decrease,Decrease
DB525,,288.0,,284.0,,,4.0,,Course for 1 year only,Course for 1 year only,Increase
DB526,,244.0,347.0,253.0,,-103.0,-9.0,94.0,Decrease,Increase,Decrease
DB527,,254.0,234.0,235.0,,20.0,19.0,-1.0,Increase,Decrease,Increase
DB531,,288.0,293.0,220.0,,-5.0,68.0,73.0,Decrease,Increase,Increase
DB562,,244.0,243.0,208.0,,1.0,36.0,35.0,Increase,Increase,Increase
DB566,,262.0,220.0,216.0,,42.0,46.0,4.0,Increase,Increase,Increase
DB567,,245.0,218.0,192.0,,27.0,53.0,26.0,Increase,Increase,Increase
DB568,,254.0,219.0,245.0,,35.0,9.0,-26.0,Increase,Decrease,Increase
DB569,,240.0,252.0,279.0,,-12.0,-39.0,-27.0,Decrease,Decrease,Decrease
DC001,,445.0,440.0,398.0,,5.0,47.0,42.0,Increase,Increase,Increase
DC002,,518.0,488.0,462.0,,30.0,56.0,26.0,Increase,Increase,Increase
DC003,,489.0,445.0,433.0,,44.0,56.0,12.0,Increase,Increase,Increase
DC004,,451.0,411.0,357.0,,40.0,94.0,54.0,Increase,Increase,Increase
DC009,,356.0,376.0,347.0,,-20.0,9.0,29.0,Decrease,Increase,Increase
DC010,,384.0,441.0,386.0,,-57.0,-2.0,55.0,Decrease,Increase,Decrease
DC011,,409.0,412.0,352.0,,-3.0,57.0,60.0,Decrease,Increase,Increase
DC012,,409.0,378.0,367.0,,31.0,42.0,11.0,Increase,Increase,Increase
DC013,,413.0,419.0,410.0,,-6.0,3.0,9.0,Decrease,Increase,Increase
DC014,,311.0,419.0,428.0,,-108.0,-117.0,-9.0,Decrease,Decrease,Decrease
DC110,,498.0,465.0,440.0,,33.0,58.0,25.0,Increase,Increase,Increase
DC111,,511.0,488.0,463.0,,23.0,48.0,25.0,Increase,Increase,Increase
DC112,,542.0,517.0,495.0,,25.0,47.0,22.0,Increase,Increase,Increase
DC113,,484.0,462.0,440.0,,22.0,44.0,22.0,Increase,Increase,Increase
DC114,,544.0,522.0,501.0,,22.0,43.0,21.0,Increase,Increase,Increase
DC115,,544.0,510.0,487.0,,34.0,57.0,23.0,Increase,Increase,Increase
DC116,,613.0,579.0,578.0,,34.0,35.0,1.0,Increase,Increase,Increase
DC117,,484.0,476.0,463.0,,8.0,21.0,13.0,Increase,Increase,Increase
DC118,,368.0,359.0,357.0,,9.0,11.0,2.0,Increase,Increase,Increase
DC119,,601.0,564.0,566.0,,37.0,35.0,-2.0,Increase,Decrease,Increase
DC120,,403.0,357.0,350.0,,46.0,53.0,7.0,Increase,Increase,Increase
DC121,,475.0,400.0,370.0,,75.0,105.0,30.0,Increase,Increase,Increase
DC123,,501.0,465.0,467.0,,36.0,34.0,-2.0,Increase,Decrease,Increase
DC126,,577.0,560.0,520.0,,17.0,57.0,40.0,Increase,Increase,Increase
DC127,,541.0,532.0,509.0,,9.0,32.0,23.0,Increase,Increase,Increase
DC131,,421.0,407.0,400.0,,14.0,21.0,7.0,Increase,Increase,Increase
DC132,,452.0,429.0,401.0,,23.0,51.0,28.0,Increase,Increase,Increase
DC133,,435.0,411.0,403.0,,24.0,32.0,8.0,Increase,Increase,Increase
DC155,,427.0,387.0,371.0,,40.0,56.0,16.0,Increase,Increase,Increase
DC161,,498.0,498.0,446.0,,0.0,52.0,52.0,No change,Increase,Increase
DC162,,531.0,521.0,488.0,,10.0,43.0,33.0,Increase,Increase,Increase
DC163,,466.0,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DC166,,423.0,433.0,412.0,,-10.0,11.0,21.0,Decrease,Increase,Increase
DC168,,543.0,512.0,489.0,,31.0,54.0,23.0,Increase,Increase,Increase
DC175,,400.0,419.0,,,-19.0,,,Decrease,Course for 1 year only,Course for 1 year only
